Date,index,Cbd_Regional,total,left,left_avg,year,day,hour
2019-03-25,83,cbd,5.0,3.0,1.0,2019.0,25.0,11.0
2019-03-26,84,cbd,5.0,3.0,1.0,2019.0,26.0,12.0
2019-03-27,85,cbd,6.0,4.0,1.0,2019.0,27.0,11.0
2019-03-28,86,cbd,8.0,4.0,1.0,2019.0,28.0,10.0
2019-03-29,87,cbd,8.0,5.0,1.0,2019.0,29.0,12.0
2019-03-30,88,cbd,8.0,4.0,1.0,2019.0,30.0,11.0
2019-03-31,89,cbd,5.0,3.0,1.0,2019.0,31.0,11.5
2019-04-01,90,cbd,7.0,4.0,1.0,2019.0,1.0,12.0
2019-04-02,91,cbd,7.0,4.0,1.0,2019.0,2.0,12.0
2019-04-03,92,cbd,8.0,4.0,1.0,2019.0,3.0,11.0
2019-04-04,93,cbd,7.0,4.0,1.0,2019.0,4.0,12.0
2019-04-05,94,cbd,9.0,5.0,1.0,2019.0,5.0,12.0
2019-04-06,95,cbd,8.0,4.0,1.0,2019.0,6.0,11.0
2019-04-07,96,cbd,6.0,3.0,1.0,2019.0,7.0,12.0
2019-04-08,97,cbd,8.0,4.0,1.0,2019.0,8.0,12.0
2019-04-09,98,cbd,8.0,4.0,1.0,2019.0,9.0,12.0
2019-04-10,99,cbd,11.0,6.0,1.0,2019.0,10.0,11.0
2019-04-11,100,cbd,13.0,7.0,1.0,2019.0,11.0,11.0
2019-04-12,101,cbd,8.0,4.0,1.0,2019.0,12.0,13.0
2019-04-13,102,cbd,10.0,6.0,1.0,2019.0,13.0,9.0
2019-04-14,103,cbd,5.0,3.0,1.0,2019.0,14.0,12.0
2019-04-15,104,cbd,7.0,4.5,1.0,2019.0,15.0,12.0
2019-04-16,105,cbd,8.0,5.0,1.0,2019.0,16.0,12.0
2019-04-17,106,cbd,10.0,5.0,1.0,2019.0,17.0,12.0
2019-04-18,107,cbd,11.0,6.0,1.0,2019.0,18.0,11.0
2019-04-19,108,cbd,5.0,3.0,1.0,2019.0,19.0,12.0
2019-04-20,109,cbd,6.0,4.0,1.0,2019.0,20.0,12.0
2019-04-21,110,cbd,6.0,3.0,1.0,2019.0,21.0,12.0
2019-04-22,111,cbd,5.0,3.0,1.0,2019.0,22.0,11.0
2019-04-23,112,cbd,5.0,3.0,1.0,2019.0,23.0,13.0
2019-04-24,113,cbd,10.0,5.0,1.0,2019.0,24.0,9.0
2019-04-25,114,cbd,6.0,3.0,1.0,2019.0,25.0,12.0
2019-04-26,115,cbd,7.0,4.0,1.0,2019.0,26.0,12.0
2019-04-27,116,cbd,7.0,4.0,1.0,2019.0,27.0,12.0
