Suburb,Year,Population,,,
Ocean Grove,2012,"13,052",,,
Ocean Grove,2013,"13,175",,,
Ocean Grove,2014,"13,539",,,
Ocean Grove,2015,"14,009",,,
Ocean Grove,2016,"14,608",,,
Ocean Grove,2017,"15,215",,,
Ocean Grove,2018,"15,760",,,
Ocean Grove,2019,"16,494",,,
,,,,,
,,,,,
,,,,,
