Suburb,Year,Population,,,
Rural North,2012,"1,685",,,
Rural North,2013,"1,693",,,
Rural North,2014,"1,719",,,
Rural North,2015,"1,735",,,
Rural North,2016,"1,785",,,
Rural North,2017,"1,834",,,
Rural North,2018,"1,927",,,
Rural North,2019,"1,987",,,
,,,,,
,,,,,
,,,,,
