Suburb,Year,Population
Armstrong Creek,2012,1521
Armstrong Creek,2013,2515
Armstrong Creek,2014,3515
Armstrong Creek,2015,4524
Armstrong Creek,2016,5561
Armstrong Creek,2017,6889
Armstrong Creek,2018,8496
Armstrong Creek,2019,10056
