Suburb,Year,Population,,,
Newcomb,2012,"5,826",,,
Newcomb,2013,"5,828",,,
Newcomb,2014,"5,863",,,
Newcomb,2015,"5,887",,,
Newcomb,2016,"5,980",,,
Newcomb,2017,"6,001",,,
Newcomb,2018,"6,064",,,
Newcomb,2019,"6,101",,,
,,,,,
,,,,,
,,,,,
