Suburb,LUM,LUMquintile,TrainDistThresh,BusDistThresh,AccUtDestPres,AccUtDestPresquintile,AccUtDestDist,AccUtDestDistquintile,SprtLeiDens,SprtLeiDensquintile,SprtLeiDist,SprtLeiDistquintile,POSAreaPct,POSAreaPctquintile,TakeawayDens,TakeawayDensquintile,TakeawayDist,TakeawayDistquintile,HealthyFoodDensity,HealthyFoodDensityquintile,HealthyFoodDist,HealthyFoodDistquintile,ActCenDist,TobPopDensp1000quintile,TobTobVendDistquintile,CAGR,TrainPres
Connewarre,0.07,1,0,0,1,1,0,1,0,1,9419.42,5,0.12,4,0,1,5779.57,5,0,1,7863.14,5,12872.06,1,5,0.01,0
Curlewis (Vic.),0.22,3,0,0,1,1,0,1,0,1,5648.71,4,0.06,1,0,1,4651.54,5,0,1,5275.63,5,17524.77,5,4,0.24,0
Fyansford,0.13,2,0,0,1,1,1,1,0,1,4026.36,4,0.04,1,0,1,2463.16,4,0,1,3512.72,4,5762.39,5,3,0.03,0
Little River (Vic.),0.03,1,0,0,3,2,1,3,0,1,11035.74,5,0.09,1,0,1,7238.4,5,0,1,9442.93,5,11609.05,1,5,0.02,1
Lovely Banks,0.15,2,0,0,1,1,0,1,0,1,2228.36,3,0.03,1,0,1,1842.53,4,0,1,2087.59,3,7104.34,2,4,0.07,0
Mannerim,0.13,1,0,0,1,1,1,1,0,1,6398.1,4,0.06,1,0,1,7341.63,5,0,1,7562.37,5,26010,5,5,0.02,0
Marcus Hill,0.39,3,0,1,2,2,1,2,0,1,2756.68,3,0.07,1,0.05,2,1960.88,4,0,1,3240.48,4,23135.67,5,4,0.02,0
Moorabool,0.03,1,0,0,1,1,0,1,0,1,6152.08,4,0,1,0.03,2,3780.6,4,0.03,2,4320.54,4,10976.58,1,5,0.07,0
Mount Duneed,0.14,2,0,0,2,2,1,2,0,1,6520.56,5,0.01,1,0,1,4379.5,4,0,1,4362.59,4,11497.8,1,5,0.27,0
Point Lonsdale,0.49,4,0,1,2,2,1,2,0,1,5021.46,4,0.01,1,0,1,6670.95,5,0,1,6670.95,5,28127.45,1,4,0.02,0
Wallington,0.11,1,0,1,3,2,1,3,0.02,3,3235.33,4,0.19,4,0.05,2,1932.45,4,0.02,2,2503.55,3,18305.76,3,4,0.02,0
