Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
11 Wattletree Road,"736,000",Sep 2014,"310,000",Feb 2000,,430,Mar 2015,625,,3,1,1,Drumcondra,7
27 Melbourne Road,"560,000",Sep 2014,"95,000",Jul 1997,,,,408,,,,,Drumcondra,7
2/31 Bell Parade,"250,000",Aug 2014,"72,500",Aug 1997,,,,202,94,,,,Drumcondra,7
1/20-22 Lunan Avenue,"505,000",Jul 2014,,,,,,653,,,,,Drumcondra,7
1/20 Lunan Avenue,"505,000",19 Jul 2014,,,1.0,390,Jan 2016,267,116,,,,Drumcondra,7
2/20 Lunan Avenue,"505,000",Jul 2014,,,,360,Oct 2012,653,,,,,Drumcondra,7
1/31 Bell Parade,"350,000",Jun 2014,"81,500",Jan 1997,,,,252,92,,,,Drumcondra,7
16 Glenleith Avenue,"630,000",May 2014,"178,000",Jul 1986,,,,,,4,2,3,Drumcondra,7
23 Bell Parade,"527,000",22 Mar 2014,,,1.0,,,572,,3,1,1,Drumcondra,7
11 Lunan Avenue,"920,000",Mar 2014,"270,000",Jul 2001,,750,Jul 2014,611,134,4,3,6,Drumcondra,7
14 Beach Parade,"730,000",Feb 2014,,,,470,Apr 2015,613,,3,2,4,Drumcondra,7
1 Grandview Grove,"815,000",Feb 2014,"750,000",Apr 2005,,,,624,,5,3,2,Drumcondra,7
59 The Esplanade,"2,100,000",Dec 2013,"480,000",Feb 1991,,,,"1,157",,4,,,Drumcondra,7
6/17 The Esplanade,"375,000",Nov 2013,,,,300,Sep 2013,,,,,,Drumcondra,7
2 Beach Parade,"1,150,000",Nov 2013,"750,000",Jan 2008,,,,808,186,4,2,4,Drumcondra,7
6a Lunan Avenue,"640,000",Oct 2013,,,,,,653,,3,2,1,Drumcondra,7
6 Lunan Avenue,"640,000",Oct 2013,,,,,,653,212,2,2,,Drumcondra,7
16 Lunan Avenue,"640,000",28 Sep 2013,,,1.0,330,Sep 2016,653,,3,1,2,Drumcondra,7
3 Grandview Grove,"895,000",Sep 2013,,,,550,May 2011,625,264,6,3,2,Drumcondra,7
14a Glenleith Court,"309,000",Aug 2013,,,,,,,,2,1,1,Drumcondra,7
17 Bell Parade,"600,000",17 Aug 2013,,,1.0,,,652,150,3,2,1,Drumcondra,7
13 Glenleith Avenue,"950,000",Aug 2013,,,,,,970,,3,2,2,Drumcondra,7
17 Grandview Grove,"1,070,000",Jul 2013,"726,000",Nov 2010,1.0,,,613,238,4,2,2,Drumcondra,7
25 Grandview Grove,"735,000",Jun 2013,,,,,,612,,4,2,1,Drumcondra,7
8 Lunan Avenue,"710,000",May 2013,"315,000",Mar 2000,,480,Jul 2013,653,,3,2,2,Drumcondra,7
25 Wattletree Road,"650,000",May 2013,,,,,,188,,3,1,2,Drumcondra,7
76 Keera Street,"1,763,250",Apr 2013,,,,,,,,4,2,2,Drumcondra,7
2/21 Drumcondra Avenue,"200,000",Apr 2013,"95,000",Feb 2002,,,,99,,,,,Drumcondra,7
2 Lunan Avenue,"550,000",Mar 2013,"450,000",Dec 2006,,430,Jan 2018,655,123,1,1,2,Drumcondra,7
14 Kooyong Road,"471,000",Jan 2013,,,,,,,,4,2,2,Drumcondra,7
5 Mc Millan Avenue,"650,000",Nov 2012,,,,,,520,,5,3,2,Drumcondra,7
26 Beach Parade,"763,000",03 Nov 2012,,,1.0,,,674,164,3,1,2,Drumcondra,7
4 Wattletree Road,"725,000",Oct 2012,,,,570,Nov 2012,625,190,3,2,2,Drumcondra,7
1/2A Wattletree Road,"360,000",Oct 2012,"300,000",Oct 2007,,250,Nov 2008,236,,,,,Drumcondra,7
1/2 Wattletree Road,"360,000",Oct 2012,,,,,,,,,,,Drumcondra,7
9 Bell Parade,"655,000",Oct 2012,"460,000",Jun 2009,,,,655,,3,2,2,Drumcondra,7
27 Wattletree Road,"1,110,000",Sep 2012,"405,000",Nov 2002,,,,93,,4,2,2,Drumcondra,7
9 Glenleith Avenue,"950,000",Jun 2012,,,,,,970,,4,1,2,Drumcondra,7
2/55 Princes Highway,"475,000",May 2012,,,,,,220,,,,,Drumcondra,7
1/6 Stradling Avenue,"504,000",12 May 2012,,,1.0,,,63,,2,2,2,Drumcondra,7
10 Mcmillan Avenue,"625,000",Apr 2012,"69,000",Mar 1985,,550,Mar 2012,,,2,2,2,Drumcondra,7
75 The Esplanade,"1,900,000",Apr 2012,"1,750,000",Feb 2010,,,,912,,4,3,3,Drumcondra,7
15 McMillan Avenue,"605,000",Mar 2012,,,,,,520,,4,2,2,Drumcondra,7
7a York Street,"347,600",Mar 2012,,,,750,Apr 2012,,,3,3,2,Drumcondra,7
31 Beach Parade,"700,000",11 Feb 2012,,,1.0,390,Nov 2017,613,613,3,1,1,Drumcondra,7
7 Bell Parade,"670,000",Jan 2012,"390,000",Oct 2006,,350,Feb 2006,655,191,4,3,2,Drumcondra,7
1/21 The Esplanade,"630,000",Dec 2011,,,,300,Nov 2010,,,,,,Drumcondra,7
1/53 Melbourne Road,"435,000",Oct 2011,"54,000",Jun 1984,,,,640,,,,,Drumcondra,7
47 Princes Highway,"405,000",Sep 2011,"280,000",Nov 2003,,300,Jul 2013,684,,3,1,1,Drumcondra,7
47 Melbourne Road,"405,000",Sep 2011,,,,280,Sep 2013,684,,3,1,1,Drumcondra,7
8 Glenleith Avenue,"790,000",Sep 2011,,,,,,,,5,2,2,Drumcondra,7
11 Drumcondra Avenue,"625,000",Jul 2011,,,,,,626,,3,2,2,Drumcondra,7
5 Lunan Avenue,"1,250,000",Jun 2011,,,,650,Aug 2008,611,255,3,2,2,Drumcondra,7
22 Mont Albert Road,"369,000",May 2011,,,,,,,,3,1,1,Drumcondra,7
2/19 McMillan Avenue,"317,000",30 Apr 2011,,,1.0,210,Feb 2008,331,,,,,Drumcondra,7
13 Mont Albert Road,"580,000",Apr 2011,,,,450,Oct 2012,,,3,2,3,Drumcondra,7
6 Wattletree Road,"710,000",Mar 2011,"158,000",Sep 1994,,,,625,,1,1,2,Drumcondra,7
22 Wattletree Road,"800,000",19 Mar 2011,,,1.0,630,Jan 2016,613,,3,2,2,Drumcondra,7
24 Lunan Avenue,"935,000",01 Mar 2011,"500,000",Jun 2003,1.0,,,522,228,4,3,2,Drumcondra,7
19 Grandview Grove,"760,000",Dec 2010,,,,,,613,176,3,2,2,Drumcondra,7
41 Bell Parade,"660,000",01 Dec 2010,,,1.0,,,644,,3,1,2,Drumcondra,7
7 Glenleith Avenue,"1,080,000",Nov 2010,"650,000",Mar 2006,,550,Feb 2000,861,,3,2,1,Drumcondra,7
3 Stradling Avenue,"615,000",16 Oct 2010,,,1.0,400,Oct 2008,615,,3,1,1,Drumcondra,7
14 York Street,"475,000",Jul 2010,"87,500",Dec 1997,,,,,,3,1,1,Drumcondra,7
79 The Esplanade,"1,220,000",Jul 2010,,,,450,Jul 2014,675,180,4,1,1,Drumcondra,7
37 The Esplanade,"1,150,000",Jun 2010,"960,000",Oct 2004,,475,Oct 2016,503,,4,1,2,Drumcondra,7
10 Mont Albert Road,"604,500",Mar 2010,"60,000",Mar 1986,,450,Aug 2010,,,3,2,1,Drumcondra,7
10 Drumcondra Avenue,"604,500",Mar 2010,"86,000",Jul 1984,,,,625,,3,3,2,Drumcondra,7
59 Melbourne Road,"337,000",Mar 2010,,,,,,530,145,3,1,1,Drumcondra,7
1/7 Glenleith Avenue,"1,080,000",Mar 2010,,,,,,860,,,,,Drumcondra,7
17 Drumcondra Avenue,"650,000",Mar 2010,,,,,,613,175,2,1,,Drumcondra,7
1/12 Glenleith Avenue,"335,000",Feb 2010,,,,350,Nov 2015,235,,,,,Drumcondra,7
13 Wattletree Road,"670,500",Feb 2010,"560,000",Jun 2007,,435,Sep 2011,625,,2,1,1,Drumcondra,7
29 The Esplanade,"2,500,000",Jan 2010,,,,,,968,,4,2,3,Drumcondra,7
6/21 The Esplanade,"389,000",Jan 2010,,,,,,"1,425",,,,,Drumcondra,7
21 Grandview Grove,"513,000",Dec 2009,,,,,,613,147,3,2,2,Drumcondra,7
13 Kooyong Road,"289,000",Dec 2009,,,,,,,,2,1,1,Drumcondra,7
6 Drumcondra Avenue,"750,000",Dec 2009,"270,000",Nov 2000,,,,624,257,4,2,2,Drumcondra,7
20 Grandview Grove,"505,000",Nov 2009,,,,,,619,136,2,1,2,Drumcondra,7
4 York Street,"560,000",Nov 2009,"135,000",Apr 1999,,,,,,3,2,,Drumcondra,7
18 Beach Parade,"875,000",Sep 2009,"320,000",Sep 1999,,600,Nov 2009,687,,4,2,2,Drumcondra,7
6a Glenleith Court,"252,000",Mar 2009,,,,320,Nov 2012,,,,,,Drumcondra,7
2 Grandview Grove,"300,000",Mar 2009,,,,,,639,,3,,,Drumcondra,7
1 Bell Parade,"392,950",Jan 2009,"242,500",Feb 2004,,,,327,,3,,,Drumcondra,7
1A Bell Parade,"392,950",Dec 2008,,,,,,327,,3,2,1,Drumcondra,7
21 Beach Parade,"965,000",Oct 2008,"546,000",Nov 2001,,,,305,211,4,2,,Drumcondra,7
33 Glenleith Avenue,"452,000",Oct 2008,"180,000",Sep 2004,,,,250,,3,2,2,Drumcondra,7
2/15 Mont Albert Road,"240,000",Oct 2008,"120,000",Apr 1989,,,,,,,,,Drumcondra,7
27 Bell Parade,"520,000",Jun 2008,,,,,,571,,3,1,2,Drumcondra,7
55 Melbourne Road,"375,000",Feb 2008,,,,,,144,,4,2,3,Drumcondra,7
26 Grandview Grove,"547,500",Oct 2007,"452,800",Oct 2002,,,,616,,3,2,2,Drumcondra,7
