Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
3 Read Street,"700,000",Nov 2020,"119,950",Dec 1999,,,,610,,3,2,2,Newtown,21
37 Upper Skene Street,"1,520,000",Nov 2020,"429,000",Nov 2004,,,,604,145,4,2,2,Newtown,21
2/8 Clarke Street,"550,000",Nov 2020,"150,000",Mar 2000,,,,276,,,,,Newtown,21
28A Belfast Street,"682,500",Nov 2020,,,,,,282,,,,,Newtown,21
20 Bayswater Road,"1,600,000",Nov 2020,"345,000",Jun 2004,,,,483,195,,,,Newtown,21
227 Noble Street,"1,520,000",Nov 2020,"320,001",Jan 2001,,,,935,288,4,2,2,Newtown,21
17 Price Street,"660,000",Nov 2020,"380,000",Nov 2015,,"10,400",May 2012,409,,,,,Newtown,21
1/46 Percy Street,"690,000",Nov 2020,,,,560,Nov 2018,"1,943",141,,,,Newtown,21
99 Camden Road,"790,000",Nov 2020,"61,000",Jun 1984,,,,619,,3,,,Newtown,21
92 Noble Street,"900,000",Nov 2020,"245,000",Oct 2001,,,,535,,3,2,2,Newtown,21
67 Fairview Avenue,"835,000",Nov 2020,"390,000",Oct 2009,,400,Jun 2019,441,,3,1,1,Newtown,21
89b Skene Street,"1,400,000",Nov 2020,,,,"1,100",Dec 2018,492,,5,2,2,Newtown,21
15 Julian Street,"800,000",Nov 2020,"519,000",Feb 2016,,580,Dec 2019,191,124,,,,Newtown,21
1/16 Laurel Bank Parade,"743,000",Nov 2020,"580,000",Jul 2011,,495,Mar 2015,422,128,3,2,1,Newtown,21
23 Cook Street,"815,000",Oct 2020,,,,,,789,,,,,Newtown,21
35 Craigie Road,"693,000",Oct 2020,"191,500",Oct 2002,,320,Nov 2013,689,,3,1,1,Newtown,21
12 Brice Avenue,"1,010,000",Oct 2020,"630,000",Mar 2010,,780,Jun 2017,549,242,4,2,1,Newtown,21
3 Chester Street,"850,000",Oct 2020,"472,000",Sep 2014,1.0,450,Jun 2018,652,,3,1,4,Newtown,21
2/39 Read Street,"775,000",Oct 2020,"580,000",Jul 2013,,600,Apr 2013,293,,,,,Newtown,21
1/32 Upper Skene Street,"1,125,000",Oct 2020,"700,000",Apr 2009,,525,Apr 2014,365,,,,,Newtown,21
16 Clarendon Street,"752,000",Oct 2020,"435,000",Dec 2007,,450,Oct 2014,210,,3,3,1,Newtown,21
1/379 Shannon Avenue,"320,000",Oct 2020,"280,000",Dec 2018,,245,Nov 2017,62,42,,,,Newtown,21
42 Sandringham Parade,"742,000",Oct 2020,,,,,,735,,4,1,2,Newtown,21
61 Camden Road,"760,000",Oct 2020,,,,,,557,,3,2,2,Newtown,21
370 Shannon Avenue,"747,500",Oct 2020,,,,,,274,,4,1,2,Newtown,21
12B Noble Street,"1,190,000",Oct 2020,,,,,,347,,,,,Newtown,21
44 Skene Street,"1,675,000",Oct 2020,"1,400,000",May 2017,,,,704,362,5,4,4,Newtown,21
2/91 Camden Road,"857,500",Oct 2020,"635,000",Sep 2015,,,,197,,,,,Newtown,21
14 Frank Street,"1,540,000",Sep 2020,,,,820,Nov 2019,418,,4,2,2,Newtown,21
75 Sandringham Parade,"1,010,000",Sep 2020,"128,000",Dec 1999,,350,Sep 2009,818,,3,2,1,Newtown,21
3B Ballater Avenue,"850,000",Sep 2020,,,,695,Aug 2020,349,,,,,Newtown,21
11 Chesterfield Court,"912,000",Sep 2020,"390,000",Mar 2007,,390,Apr 2019,739,,3,1,2,Newtown,21
38 Sandringham Parade,"720,000",Sep 2020,"648,000",Sep 2019,,350,May 2012,816,,3,2,2,Newtown,21
33 Mervyn Street,"950,000",Sep 2020,"592,500",Jul 2012,1.0,,,529,,3,2,2,Newtown,21
2/2A BALLATER Avenue,"375,000",Sep 2020,"370,000",Mar 2019,,,,544,,,,,Newtown,21
48 Balcombe Road,"761,000",Sep 2020,,,,,,728,,3,1,2,Newtown,21
181 Minerva Road,"623,800",Sep 2020,"315,000",Jun 2007,,305,Sep 2010,592,,3,1,2,Newtown,21
351 Shannon Avenue,"2,370,000",Sep 2020,"627,000",Aug 2014,1.0,,,793,200,4,1,1,Newtown,21
374 Aberdeen Street,"765,000",Sep 2020,"593,000",Jun 2015,,,,622,,3,1,2,Newtown,21
1/270a Pakington Street,"476,500",Sep 2020,"229,000",Jun 2007,,,,105,,,,,Newtown,21
5/11 Skene Street,"437,500",Sep 2020,"146,800",Dec 2000,,200,Dec 2005,116,,,,,Newtown,21
2/91 Aphrasia Street,"537,500",Sep 2020,"308,000",Aug 2009,,370,May 2018,181,,,,,Newtown,21
229 Noble Street,"1,300,000",Aug 2020,"557,500",Oct 2002,,800,Dec 2020,936,,4,3,3,Newtown,21
12 Lancaster Avenue,"900,000",Aug 2020,"861,600",Feb 2018,,,,530,,3,2,1,Newtown,21
1/8-10 Ballater Avenue,"364,000",Aug 2020,"285,000",Aug 2011,,285,Oct 2014,90,,,,,Newtown,21
1/79 Fairview Avenue,"955,000",Aug 2020,"295,000",Mar 2009,,,,346,,,,,Newtown,21
24 Stinton Avenue,"855,000",Aug 2020,,,,,,589,,,,,Newtown,21
13 Churchill Avenue,"445,000",22 Aug 2020,,,1.0,,,360,,3,,,Newtown,21
20 Aphrasia Street,"1,630,000",Aug 2020,"1,420,000",Apr 2010,,,,673,200,4,4,4,Newtown,21
255 Noble Street,"1,530,000",Aug 2020,"1,175,000",Aug 2012,,,,779,300,4,1,2,Newtown,21
87 West Fyans Street,"780,000",Aug 2020,"585,500",Jun 2014,1.0,250,Oct 2008,404,156,4,2,2,Newtown,21
444 Latrobe Terrace,"540,000",Aug 2020,,,,410,Oct 2019,210,,,,,Newtown,21
69 Buckingham ROAD,"715,500",Aug 2020,"685,000",Jun 2018,,,,690,,3,1,2,Newtown,21
114 Skene Street,"802,000",14 Aug 2020,"135,000",Aug 1992,1.0,,,439,,2,,,Newtown,21
1/11 Aphrasia Street,"575,000",Aug 2020,"335,000",May 2010,,,,190,,,,,Newtown,21
83 Aberdeen,"1,500,000",Jul 2020,,,,,,,,4,2,,Newtown,21
47 Fairview Avenue,"1,450,000",Jul 2020,"670,000",May 2011,,,,482,,3,2,2,Newtown,21
16 Austin Street,"1,040,000",Jul 2020,"470,000",May 2005,,,,511,,3,2,,Newtown,21
39 Retreat Road,"1,205,000",Jul 2020,"495,000",May 2006,,320,Jan 2005,403,,5,2,2,Newtown,21
32 Craigie Road,"755,000",Jul 2020,"117,000",Dec 1998,,340,Oct 2019,741,,2,1,,Newtown,21
9/199 Noble Street,"402,000",Jul 2020,"290,000",Jul 2015,,295,Sep 2013,93,,2,1,1,Newtown,21
62 Clarendon Street,"985,000",Jul 2020,"615,000",Sep 2015,,485,Oct 2012,296,,,,,Newtown,21
58 Austin Street,"795,000",18 Jul 2020,,,1.0,420,Oct 2020,510,,3,1,1,Newtown,21
3/41 Percy Street,"627,000",Jul 2020,"570,500",May 2017,,500,Apr 2019,239,,,,,Newtown,21
41 Noble Street,"960,000",Jul 2020,"730,000",Oct 2014,,610,Dec 2014,422,267,4,2,3,Newtown,21
448 Latrobe Terrace,"410,000",Jul 2020,"373,500",Aug 2014,,,,396,104,3,1,1,Newtown,21
38 Cook Street,"890,000",Jul 2020,,,,,,679,,4,2,1,Newtown,21
25 Ballater Avenue,"700,000",11 Jul 2020,,,1.0,,,717,,,,,Newtown,21
5 Bosanquet Avenue,"525,000",Jul 2020,"320,000",Jun 2008,,390,Mar 2020,746,,3,1,1,Newtown,21
4 JACKMAN ROAD,"930,000",Jul 2020,,,,,,724,,3,2,2,Newtown,21
2 Cumberland Street,"1,000,000",Jul 2020,"895,000",Jul 2017,,,,488,171,4,1,2,Newtown,21
35 Upper Skene Street,"1,360,000",Jul 2020,"180,000",Sep 1998,,,,525,275,4,2,2,Newtown,21
3 Chelmsford Avenue,"860,000",Jul 2020,,,,,,818,,4,2,2,Newtown,21
36-38 Russell Street,"1,030,000",Jul 2020,,,,,,545,,,,,Newtown,21
42 UPPER SKENE STREET,"877,800",Jun 2020,,,,,,676,,3,1,2,Newtown,21
14 Sherbourne Terrace,"486,000",Jun 2020,"265,500",Mar 2007,,325,Apr 2014,264,,3,1,1,Newtown,21
185 Aberdeen Street,"420,000",Jun 2020,"397,500",May 2018,,300,Jul 2018,357,,,,,Newtown,21
39 Cumberland Street,"1,080,000",Jun 2020,"555,000",Dec 2004,,550,Nov 2010,387,,4,2,2,Newtown,21
119 Noble Street,"880,000",Jun 2020,"540,000",Oct 2007,,350,Apr 2014,508,,3,1,2,Newtown,21
51 Upper Skene Street,"1,080,000",Jun 2020,"701,600",Oct 2013,,400,Feb 2009,519,,3,2,2,Newtown,21
2/251 Noble Street,"610,000",Jun 2020,"300,000",Nov 2015,1.0,,,137,,2,1,1,Newtown,21
108 Noble Street,"950,000",Jun 2020,"430,000",May 2002,,,,618,,3,2,2,Newtown,21
1/259 Pakington Street,"550,000",Jun 2020,"415,000",Jul 2017,,320,Mar 2017,133,112,,,,Newtown,21
304 Latrobe Terrace,"600,000",Jun 2020,"395,000",Apr 2016,,,,491,146,3,1,1,Newtown,21
15 Nantes Street,"3,175,000",Jun 2020,"922,500",Aug 2015,1.0,,,"1,226",216,5,2,2,Newtown,21
19 Ardlui Drive,"1,500,000",Jun 2020,"465,000",Feb 2011,,450,Feb 2011,725,134,3,2,2,Newtown,21
2 Patten Court,"860,000",Jun 2020,,,,,,685,,,,,Newtown,21
4 Windmill Street,"1,490,000",Jun 2020,"975,000",Dec 2017,,,,792,,4,2,2,Newtown,21
8 Neiley Street,"810,000",Jun 2020,"372,000",Jun 2010,,330,Apr 2014,766,,3,1,2,Newtown,21
4/65 Camden Road,"406,100",Jun 2020,"96,000",Nov 1999,,140,Jun 2004,221,,,,,Newtown,21
3 Vista Road,"763,000",Jun 2020,,,,,,831,,3,1,1,Newtown,21
12 Huntingdon Street,"2,225,000",Jun 2020,"581,000",Jun 2006,,,,819,,4,2,2,Newtown,21
1 Melville Avenue,"1,620,000",Jun 2020,,,,,,"1,487",,5,3,4,Newtown,21
34 Roebuck Street,"898,000",May 2020,"130,000",Feb 2001,,,,414,,,,,Newtown,21
3 Marshall Street,"825,000",May 2020,"600,000",Mar 2016,,450,Aug 2014,457,,4,1,2,Newtown,21
6 Whyte Court,"1,050,000",May 2020,"400,000",Mar 2001,,,,870,217,3,2,2,Newtown,21
86 Aphrasia Street,"1,630,000",May 2020,"700,000",Apr 2007,,,,828,,3,2,1,Newtown,21
3/2 Upper Skene Street,"580,000",May 2020,"330,000",Dec 2014,,330,Feb 2016,144,,,,,Newtown,21
452-456 Latrobe Terrace,"1,200,000",23 May 2020,,,1.0,,,940,,2,1,,Newtown,21
1/116 Nicholas Street,"670,000",May 2020,"200,000",Apr 1999,,,,352,,,,,Newtown,21
Lot 2 Scarsdale-Pitfield Road,"149,000",May 2020,,,,,,,,,,,Newtown,21
136 Skene Street,"1,260,000",May 2020,"1,175,000",Dec 2018,,,,662,,4,2,2,Newtown,21
10 Allen Street,"525,000",May 2020,,,,440,Jan 2019,287,,3,2,2,Newtown,21
7 Talbot Street,"985,000",Apr 2020,"190,000",Feb 2000,,,,620,,3,2,2,Newtown,21
6 Montmorency Street,"675,000",Apr 2020,"627,500",Nov 2015,,400,May 2016,426,195,4,2,1,Newtown,21
1/13 Stinton Avenue,"370,000",Apr 2020,"194,000",Jul 1998,,,,112,,,,,Newtown,21
3 Fernery Grove,"800,000",Apr 2020,"710,000",Nov 2010,,450,Nov 2009,563,156,3,2,2,Newtown,21
45 Roebuck Street,"1,410,000",Apr 2020,"395,000",Jul 2004,,,,522,,3,1,1,Newtown,21
117 Skene Street,"1,650,000",Apr 2020,,,,,,952,,4,2,5,Newtown,21
80A Noble Street,"870,000",Apr 2020,,,,,,273,,3,2,2,Newtown,21
7/22-26 Craigie Road,"282,000",Apr 2020,"57,000",Oct 1994,,,,53,,,,,Newtown,21
10/22-26 Craigie Road,"357,000",Apr 2020,"292,000",Jul 2017,,245,May 2013,79,,,,,Newtown,21
33 Stinton Avenue,"1,061,000",Mar 2020,,,,,,501,,,,,Newtown,21
83 Nicholas Street,"790,000",Mar 2020,"460,000",Jan 2011,,,,597,134,3,1,2,Newtown,21
361 Autumn Street,"790,000",28 Mar 2020,"369,000",Apr 2011,1.0,,,602,,3,1,1,Newtown,21
7/22 Craigie Road,"282,000",Mar 2020,"57,000",Oct 1994,,,,53,,,,,Newtown,21
125 Aphrasia Street,"899,900",Mar 2020,"122,000",Apr 1993,,570,Aug 2017,"2,887",,4,2,2,Newtown,21
94 Buckingham Road,"975,000",Mar 2020,,,,,,884,,,,,Newtown,21
4/28 Upper Skene Street,"370,000",21 Mar 2020,"173,000",Oct 2007,1.0,350,Jan 2021,65,,,,,Newtown,21
23 Clarke Street,"555,000",Mar 2020,"430,000",Jul 2016,,360,Nov 2018,210,,2,1,1,Newtown,21
32 Aphrasia Street,"1,430,000",19 Mar 2020,"920,000",Mar 2011,1.0,,,879,,5,1,2,Newtown,21
3/11 Elcho Street,"240,000",Mar 2020,"220,000",May 2018,,250,Feb 2021,639,,,,,Newtown,21
14 Camden Road,"1,610,000",Mar 2020,"1,100,000",Oct 2015,,,,781,,3,3,2,Newtown,21
143 Aberdeen Street,"745,000",14 Mar 2020,"590,000",Dec 2015,1.0,550,Apr 2020,459,146,3,1,1,Newtown,21
59 Nicholas Street,"906,000",Mar 2020,"265,000",May 2002,,,,566,,3,2,2,Newtown,21
37 Clarendon Street,"500,000",Mar 2020,,,,450,May 2020,208,250,4,2,2,Newtown,21
6/133 Aberdeen Street,"439,000",Mar 2020,"270,000",Aug 2007,,,,164,,,,,Newtown,21
2 Allen Street,"774,000",Mar 2020,"673,500",Mar 2016,,,,336,232,4,3,4,Newtown,21
70 West Fyans Street,"610,000",Mar 2020,"286,000",Jul 2008,,,,277,122,3,2,,Newtown,21
6 Cumberland Street,"1,155,000",Feb 2020,"186,000",May 1993,,,,518,,3,,,Newtown,21
11 Vista Road,"935,000",29 Feb 2020,"580,000",Dec 2012,1.0,380,Jan 2021,"1,067",125,2,1,1,Newtown,21
"2, 1 Cairns Avenue","850,000",Feb 2020,,,,,,,,,,,Newtown,21
Lot 2 1 Cairns Avenue,"850,000",Feb 2020,,,,,,485,,,,,Newtown,21
8 Stephen Street,"1,140,000",22 Feb 2020,,,1.0,,,694,,,,,Newtown,21
2-4 Ascot Street,"2,200,000",Feb 2020,,,,,,777,,5,1,2,Newtown,21
8/2 Aphrasia Street,"260,500",Feb 2020,"185,000",Oct 2015,,105,Aug 2004,878,,,,,Newtown,21
4/16-18 WEST FYANS Street,"325,000",Feb 2020,"188,500",Jul 2009,,180,Sep 2007,79,,,,,Newtown,21
313 Pakington Street,"2,400,000",Feb 2020,"790,000",Aug 2006,,,,775,,,,,Newtown,21
3/35 Marshall Street,"524,000",Feb 2020,"251,000",Sep 2006,,295,Sep 2017,235,,,,,Newtown,21
299 Pitfield-Scarsdale Road,"380,000",Feb 2020,,,,,,,,,,,Newtown,21
109 Aberdeen Street,"890,000",08 Feb 2020,"305,000",Apr 2005,1.0,510,Apr 2020,543,,2,1,,Newtown,21
16 Sharp Street,"1,170,000",Feb 2020,"815,000",Jun 2016,,,,870,187,4,2,3,Newtown,21
16 Upper Skene Street,"1,330,000",Feb 2020,"617,000",Jun 2016,,,,586,160,4,2,2,Newtown,21
1/62 Bond Street,"445,000",Feb 2020,"53,000",Sep 1984,,,,109,,,,,Newtown,21
65 Bond Street,"615,000",Feb 2020,"410,000",Feb 2010,,395,Apr 2011,162,,2,1,1,Newtown,21
276 Pakington Street,"1,335,000",Feb 2020,,,,,,700,,,,,Newtown,21
32 Mervyn Street,"1,004,999",Feb 2020,,,,,,662,,,,,Newtown,21
42 Laurel Bank Parade,"1,560,000",Feb 2020,"838,000",Dec 2012,,,,511,322,4,1,1,Newtown,21
31 Fairview Avenue,"1,004,999",Feb 2020,"94,500",Apr 1997,,,,477,,3,1,1,Newtown,21
5 Queens Road,"1,335,000",Jan 2020,"800,000",Oct 2007,,,,901,263,4,2,2,Newtown,21
103 Skene Street,"1,150,000",Jan 2020,"1,000,000",Sep 2017,1.0,,,434,,3,2,,Newtown,21
299 Pitfield Scarsdale Road,"380,000",Jan 2020,,,,,,,,3,1,4,Newtown,21
Lot 12 Haywards Road,"210,000",Jan 2020,"160,000",Jun 2018,,,,,,,,,Newtown,21
130 Aphrasia Street,"1,315,000",Jan 2020,"875,000",Feb 2011,,,,808,,5,2,2,Newtown,21
16A Frank Street,"1,500,000",Jan 2020,,,,,,423,,4,2,2,Newtown,21
321 Autumn Street,"1,365,000",Jan 2020,"430,000",Feb 2000,,,,"1,141",200,3,2,2,Newtown,21
7 Louis Court,"1,650,000",Jan 2020,,,,,,924,,5,3,2,Newtown,21
Lot 1 Scarsdale Pitfield Road,"259,000",Jan 2020,,,,,,,,,,,Newtown,21
C/A 1 Scarsdale-Pitfield Road,"259,000",Jan 2020,,,,,,,,,,,Newtown,21
185 Minerva Road,"641,500",Jan 2020,"400,000",Jan 2014,,,,591,122,3,,,Newtown,21
32 Cumberland Street,"765,000",Jan 2020,"440,000",May 2012,,350,Apr 2014,256,,3,1,1,Newtown,21
26 Stinton Avenue,"1,225,000",Jan 2020,"1,100,000",Mar 2018,,290,Mar 2006,590,178,3,2,2,Newtown,21
30 Nantes Street,"1,675,000",Dec 2019,"650,000",Aug 2005,,,,906,265,3,3,2,Newtown,21
34A Stinton Avenue,"780,000",Dec 2019,"238,000",Mar 2000,,500,Mar 2018,413,,3,2,2,Newtown,21
6 Chelmsford Avenue,"650,000",Dec 2019,"345,000",Mar 2009,,,,317,125,,,,Newtown,21
48 Cook Street,"890,000",Dec 2019,"410,000",Dec 2006,,300,Nov 2005,678,151,3,1,1,Newtown,21
6B Elcho Street,"765,000",Dec 2019,,,,650,Nov 2019,528,,,,,Newtown,21
113a Noble Street,"1,450,000",Dec 2019,"1,225,000",Sep 2012,1.0,,,"1,013",,5,3,4,Newtown,21
2 Neiley Street,"902,000",Dec 2019,,,,,,760,,3,1,1,Newtown,21
16 Russell Street,"695,000",Dec 2019,"510,000",Jul 2015,,450,Apr 2019,326,,3,1,1,Newtown,21
7 Clarke Street,"1,530,000",Dec 2019,"936,000",Sep 2015,,,,672,,4,3,1,Newtown,21
37 Fairview Avenue,"910,000",14 Dec 2019,"79,500",Jul 1997,1.0,,,321,,3,1,1,Newtown,21
27 Cumberland Street,"685,000",Dec 2019,"158,500",Feb 2000,,,,261,,2,2,2,Newtown,21
2/286 Pakington Street,"935,000",Dec 2019,"682,500",Jul 2009,,650,Apr 2009,300,,,,,Newtown,21
42 Sherbourne Terrace,"565,000",Dec 2019,,,,,,254,,3,1,1,Newtown,21
7/12 Balcombe Road,"722,500",Dec 2019,"265,000",Jan 2015,,,,283,,,,,Newtown,21
2A Neiley Street,"765,000",07 Dec 2019,,,1.0,440,Apr 2015,305,,3,2,1,Newtown,21
48 Clarendon Street,"600,000",07 Dec 2019,"417,500",Jun 2016,1.0,430,Nov 2018,204,,2,1,1,Newtown,21
2 Fordham Street,"1,270,000",Dec 2019,"555,000",Sep 2011,,,,614,,4,2,2,Newtown,21
4 Wallace Street,"2,405,978",Dec 2019,"425,000",May 2000,,,,"1,221",,4,,,Newtown,21
17 Craigie (cnr Dundee Plc) Road,"620,000",Nov 2019,,,,,,,,,,,Newtown,21
3/94 Aphrasia Street,"230,000",Nov 2019,"195,000",Oct 2017,,240,Feb 2019,29,,,,,Newtown,21
16 Elderslie Terrace,"1,180,000",Nov 2019,"651,000",Nov 2012,,530,Sep 2014,520,219,4,2,2,Newtown,21
21 Laurel Bank Parade,"1,170,000",Nov 2019,"755,000",Mar 2016,,,,511,154,4,1,2,Newtown,21
1/94 Aphrasia Street,"407,000",23 Nov 2019,"205,000",Aug 2009,1.0,320,Feb 2012,64,,,,,Newtown,21
2/71 Clarke Street,"810,000",Nov 2019,"220,000",May 2010,,,,727,162,3,2,2,Newtown,21
4/11 Elcho Street,"220,000",Nov 2019,"105,000",Dec 2005,,220,Sep 2019,57,,,,,Newtown,21
19 Austin Street,"1,530,000",Nov 2019,"1,050,000",Nov 2017,,,,676,190,4,2,6,Newtown,21
4 Woodstock Street,"565,000",Nov 2019,,,,,,,,2,1,2,Newtown,21
35 Roebuck Street,"2,210,000",Nov 2019,"89,500",Oct 1977,,,,"1,228",,3,,,Newtown,21
12 Vista Road,"980,000",Nov 2019,"591,000",May 2015,1.0,300,Aug 2015,741,,3,1,1,Newtown,21
49 Bond Street,"1,350,000",10 Nov 2019,"540,000",Sep 2011,1.0,400,Sep 2011,490,,5,2,3,Newtown,21
11 Grant Street,"832,000",09 Nov 2019,,,1.0,350,Jan 2017,677,,2,1,1,Newtown,21
5 Whyte Court,"1,003,000",Nov 2019,"262,500",Nov 1988,,,,732,,4,,,Newtown,21
4/199 Noble Street,"383,000",Nov 2019,"310,000",Oct 2015,,280,Dec 2015,99,,,,,Newtown,21
1/67 Nicholas Street,"730,000",Nov 2019,"550,000",Jul 2013,,,,270,,,,,Newtown,21
