Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
9 Sandhill Street,"581,000",Jan 2021,"166,000",Jan 2012,,420,Aug 2016,450,181,4,2,2,Armstrong Creek,1
2 Whitecliff Way,"760,000",Jan 2021,,,,,,535,,5,3,2,Armstrong Creek,1
27 Beekeeper Road,"615,000",Jan 2021,"156,500",Dec 2012,,,,400,169,,,,Armstrong Creek,1
8 Hirst Way,"500,000",Jan 2021,,,,,,293,,,,,Armstrong Creek,1
28 Rutherford Grove,"570,000",Jan 2021,,,,,,448,,,,,Armstrong Creek,1
28 Beekeeper Road,"510,000",Jan 2021,"342,500",Jun 2013,,420,Feb 2021,350,119,3,2,2,Armstrong Creek,1
2 Eaglehawk Avenue,"600,000",Jan 2021,"165,000",Jul 2012,,,,497,160,,,,Armstrong Creek,1
9 Kingscliff Avenue,"595,000",Jan 2021,"178,000",Nov 2012,,,,527,,,,,Armstrong Creek,1
23 Tenneyson Close,"560,000",Dec 2020,,,,430,Nov 2019,448,,4,2,2,Armstrong Creek,1
Lot 116 4 Langdon Street,"285,000",Dec 2020,,,,,,423,,,,,Armstrong Creek,1
116/4 Langdon Street,"285,000",Dec 2020,,,,,,423,,,,,Armstrong Creek,1
23 Noosa Circuit,"551,000",Dec 2020,"420,000",May 2017,,,,399,,4,2,2,Armstrong Creek,1
Lot 7141 17 Iris Loop,"285,000",Dec 2020,,,,,,,,,,,Armstrong Creek,1
7141/17 Iris Loop,"285,000",Dec 2020,,,,,,406,,,,,Armstrong Creek,1
12 Simony Drive,"470,000",Dec 2020,,,,,,284,,,,,Armstrong Creek,1
13-15 Creekward Drive,"775,000",Dec 2020,,,,,,528,,3,2,2,Armstrong Creek,1
95 Coastside Drive,"605,000",Dec 2020,,,,,,451,,,,,Armstrong Creek,1
22 Mandalay Avenue,"570,000",Dec 2020,,,,,,400,,,,,Armstrong Creek,1
77 Coastside Drive,"620,000",Dec 2020,"195,000",May 2014,,,,513,,,,,Armstrong Creek,1
37 Cootamundra Drive,"490,000",Dec 2020,,,,,,262,,3,2,2,Armstrong Creek,1
18 Portrush Loop,"550,000",Dec 2020,"154,000",Feb 2000,,470,Jan 2021,400,,,,,Armstrong Creek,1
Lot 764 Avonbury Drive,"436,950",Dec 2020,,,,,,269,,3,2,2,Armstrong Creek,1
1327 Ashbury Estate,"322,500",Dec 2020,,,,,,512,,,,,Armstrong Creek,1
127 Coastside Drive,"610,000",Dec 2020,,,,,,400,,,,,Armstrong Creek,1
10 Sunshine Avenue,"545,000",Dec 2020,"162,000",Aug 2013,,,,,,,,,Armstrong Creek,1
18 Rochford Drive,"545,682",Dec 2020,"353,100",Mar 2015,,380,May 2016,400,,4,2,2,Armstrong Creek,1
26 Lance Drive,"552,000",Dec 2020,,,,,,426,,,,,Armstrong Creek,1
42 Whitecliff Way,"475,000",Dec 2020,"324,630",Jul 2014,,,,372,,3,2,2,Armstrong Creek,1
19 Swaine Street,"580,000",Dec 2020,,,,,,393,,,,,Armstrong Creek,1
39 Middleton Road,"597,500",Dec 2020,,,,,,421,,4,2,2,Armstrong Creek,1
5 Albanel Street,"527,500",Dec 2020,,,,,,350,,,,,Armstrong Creek,1
Lot 149 Lapis St (HARRIOTT),"387,200",Dec 2020,,,,,,,,3,2,1,Armstrong Creek,1
Lot 152 Lapis St (HARRIOTT),"387,200",Dec 2020,,,,,,,,3,2,1,Armstrong Creek,1
Lot 703 Avonbury Drive,"354,950",Dec 2020,,,,,,,,3,2,1,Armstrong Creek,1
Lot 1239 Netherley Walk (ASHBURY),"374,950",Dec 2020,,,,,,,,,,,Armstrong Creek,1
7 Mistybrook Place,"610,000",Dec 2020,"178,000",Jun 2010,,,,538,,,,,Armstrong Creek,1
19 Rutherford Grove,"590,000",Dec 2020,,,,450,Sep 2019,448,,4,2,2,Armstrong Creek,1
13 Sanctuary Boulevard,"495,000",Dec 2020,,,,,,352,,3,2,2,Armstrong Creek,1
12 Canoe Street,"722,500",Dec 2020,"185,000",Oct 2013,,515,Sep 2019,472,,,,,Armstrong Creek,1
15 Cloudbreak Street,"653,000",Dec 2020,"198,000",Dec 2013,,,,504,233,4,2,2,Armstrong Creek,1
22 Mcmahon Avenue,"640,000",Dec 2020,"183,000",Jul 2012,,,,527,193,,,,Armstrong Creek,1
31 Middleton Road,"560,000",Dec 2020,,,,,,378,,,,,Armstrong Creek,1
100 Warralily Boulevard,"540,000",Dec 2020,"505,000",Sep 2018,,400,Jan 2020,461,141,3,2,2,Armstrong Creek,1
Lot 1248 Netherley Walk (ASHBURY),"419,950",Dec 2020,,,,,,176,,,,,Armstrong Creek,1
705 Fawkner Crescent,"599,000",Dec 2020,,,,,,448,,4,2,2,Armstrong Creek,1
42 Sirrom Crescent,"753,000",Nov 2020,"230,000",Feb 2000,,,,615,,4,2,2,Armstrong Creek,1
98 Creekward Drive,"615,000",Nov 2020,"168,000",Mar 2011,,,,493,,,,,Armstrong Creek,1
45 Hedge Street,"548,000",Nov 2020,,,,,,353,,3,2,2,Armstrong Creek,1
23 Mallacoota Crescent,"625,000",Nov 2020,,,,,,427,,3,2,2,Armstrong Creek,1
35 Iris Loop,"645,000",Nov 2020,,,,,,448,,,,,Armstrong Creek,1
Lot 741 Fawkner Crescent,"442,990",Nov 2020,,,,,,350,,3,2,2,Armstrong Creek,1
18 Middleton Road,"610,000",Nov 2020,,,,,,448,,4,2,2,Armstrong Creek,1
38 MALLACOOTA Crescent,"750,000",Nov 2020,"219,000",Feb 2016,,,,571,,3,2,1,Armstrong Creek,1
