Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
16 Marvins Place,"525,000",Sep 2019,"410,000",Apr 2013,,385,Feb 2013,495,,4,2,2,Marshall,18
3 MORETTI Court,"470,000",Sep 2019,"177,001",Mar 2016,,400,Jul 2018,350,,4,2,3,Marshall,18
21 Drews Road,"492,500",Sep 2019,"313,000",Jun 2009,,375,May 2016,440,115,3,2,2,Marshall,18
30-32 Marvins Place,"515,000",Aug 2019,,,,,,602,,3,1,5,Marshall,18
6 Grove Road,"475,000",Aug 2019,"385,000",May 2017,1.0,400,May 2019,693,,3,2,2,Marshall,18
14 Werner Avenue,"490,000",Aug 2019,"140,800",Aug 2009,,445,Jan 2018,484,,4,2,2,Marshall,18
5 Speranza Court,"455,000",Aug 2019,"150,000",Mar 2010,,,,389,130,3,2,2,Marshall,18
1/76 Marshalltown Road,"365,000",Aug 2019,"332,000",Apr 2017,,,,343,,3,1,1,Marshall,18
20 Carlina Court,"490,000",Jul 2019,"170,000",Jun 2012,,420,Feb 2018,436,121,3,2,2,Marshall,18
21 St Cuthberts Court,"550,000",Jul 2019,"125,000",Nov 2005,,,,667,162,3,2,2,Marshall,18
3/3 Inala Court,"305,000",Jul 2019,"90,500",May 2001,,,,200,,,,,Marshall,18
9 Reedy Link,"495,000",Jul 2019,"145,000",May 2009,,,,474,150,3,2,2,Marshall,18
9 Orpington Crescent,"430,000",Jun 2019,"140,000",Jan 2012,,365,Apr 2018,327,,3,1,1,Marshall,18
43 Barwarre Road,"450,000",Jun 2019,"147,500",Aug 2009,,340,Mar 2019,468,147,4,1,1,Marshall,18
7-9 Tannery Road,"846,000",Jun 2019,,,,,,"2,330",,4,2,6,Marshall,18
1/344 Barwon Heads Road,"459,000",Jun 2019,,,,,,495,,3,2,2,Marshall,18
11 Leghorn Way,"458,000",Jun 2019,"165,000",Jul 2012,,380,Sep 2018,435,137,3,2,1,Marshall,18
7 Adair Court,"475,000",May 2019,"150,000",Mar 2015,,,,350,136,3,2,2,Marshall,18
9/9 Moretti Court,"370,000",Mar 2019,,,,320,Apr 2020,147,,,,,Marshall,18
157-159 Reserve Road,"730,000",Feb 2019,,,,380,Feb 2020,"2,026",,3,1,,Marshall,18
34 Werner Avenue,"510,000",Feb 2019,"140,000",Nov 2008,,,,484,159,3,2,2,Marshall,18
49 Barwarre Road,"508,000",Dec 2018,"134,200",Apr 2009,,420,Jul 2011,437,,3,2,4,Marshall,18
38 Drews Road,"495,000",Nov 2018,,,,,,370,,4,2,2,Marshall,18
17 Basford Court,"865,000",Nov 2018,"185,000",Jul 2012,,,,"2,997",133,5,2,10,Marshall,18
27 Drews Road,"555,000",Nov 2018,"430,000",Oct 2010,,390,May 2009,683,234,4,2,2,Marshall,18
8 Leghorn Way,"455,000",Nov 2018,"138,000",Nov 2012,,,,320,,3,2,1,Marshall,18
3-4 Emilija Court,"520,000",Nov 2018,"400,000",Oct 2014,,,,503,,3,3,2,Marshall,18
51 Marshalltown Road,"500,000",Oct 2018,,,,,,661,,3,1,2,Marshall,18
21 Basford Court,"466,000",Oct 2018,"140,000",Oct 2013,,400,Oct 2018,377,118,3,2,2,Marshall,18
29 Grove Road,"449,500",Sep 2018,"294,000",Aug 2009,,370,Jul 2014,475,104,3,1,6,Marshall,18
12 Adair Court,"470,000",Sep 2018,"141,000",Feb 2000,,370,Nov 2018,416,120,3,1,2,Marshall,18
16 Chambers Court,"485,000",Sep 2018,"288,900",Jul 2007,,400,Nov 2016,494,143,4,2,2,Marshall,18
30 MacFarlane Street,"510,000",Sep 2018,,,,450,Dec 2020,400,,3,2,2,Marshall,18
36 Grove Road,"550,000",Aug 2018,"176,000",Mar 2013,,,,420,179,,,,Marshall,18
25 Werner Street,"505,000",Jul 2018,,,,,,,,,,,Marshall,18
25 Werner Avenue,"505,000",Jul 2018,"387,500",Aug 2012,,,,481,,3,2,2,Marshall,18
9 Oriondo Way,"500,000",Jun 2018,"167,000",Jun 2011,,,,359,,4,2,2,Marshall,18
8 Krisanway Drive,"611,000",Jun 2018,"411,000",Dec 2010,,,,580,204,4,2,4,Marshall,18
25 Marvins Place,"580,000",Jun 2018,"155,000",Jul 2009,,410,Dec 2014,744,,3,2,2,Marshall,18
9 Adair Court,"431,500",Jun 2018,,,,,,350,,3,1,1,Marshall,18
7/66 Station Road,"360,000",Jun 2018,"85,000",Feb 2000,,320,Nov 2017,238,,,,,Marshall,18
6 Orpington Crescent,"462,500",May 2018,"395,000",Nov 2016,,400,Aug 2020,300,,3,2,2,Marshall,18
8 Orpington Crescent,"462,500",May 2018,"130,000",Jun 2012,,385,Jan 2016,300,124,3,2,1,Marshall,18
19 Badminton Court,"470,000",May 2018,"440,000",Feb 2017,,410,May 2018,347,,4,2,2,Marshall,18
34 Macfarlane Street,"475,000",May 2018,"154,500",Oct 2010,,390,Mar 2014,363,145,3,2,1,Marshall,18
29 Basford Court,"500,000",May 2018,"429,000",Mar 2016,,,,562,,4,2,2,Marshall,18
10 Drews Road,"460,000",May 2018,"375,000",Sep 2015,,,,704,,3,1,2,Marshall,18
