Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
1 Boolarong Drive,"585,000",Jan 2021,"352,000",Jun 2010,,370,Jun 2019,649,,3,1,1,Belmont,4
3/5 Hazel Street,"679,000",Jan 2021,,,,,,,,,,,Belmont,4
5 Hazel Street,"679,000",Jan 2021,"96,000",Oct 2001,,,,806,,3,,,Belmont,4
4 Walker Street,"560,000",Jan 2021,"420,000",Jun 2016,,"18,000",Feb 2007,620,,,,,Belmont,4
6/27 Mt Pleasant Road,"615,000",Jan 2021,"498,500",Jun 2016,,,,203,,3,,,Belmont,4
2 Tettenhall Ridge,"608,000",Jan 2021,"226,100",Nov 2004,,120,Apr 2014,762,,1,1,,Belmont,4
100 Roslyn Road,"505,000",Dec 2020,"116,000",Feb 2000,,,,452,122,3,1,1,Belmont,4
1 Dean Street,"660,000",Dec 2020,"190,000",Jan 2006,,,,557,112,3,1,,Belmont,4
9 Francis Street,"605,000",Dec 2020,"180,000",Oct 2013,,,,437,147,,,,Belmont,4
13 Roberts Road,"615,000",Dec 2020,"490,000",Jun 2017,,280,Mar 2009,387,,3,1,1,Belmont,4
1/37 Apex Avenue,"645,000",Dec 2020,,,,,,343,,,,,Belmont,4
52 Dorothy Avenue,"566,000",Dec 2020,"275,000",Jan 2013,,280,May 2013,595,,2,1,1,Belmont,4
1 Brocka Avenue,"740,000",Dec 2020,"387,500",Jul 2013,1.0,295,Jun 2010,625,,3,1,1,Belmont,4
42A Shackleton Street,"785,000",Dec 2020,,,,525,Nov 2020,379,,,,,Belmont,4
185 Roslyn Road,"920,000",Dec 2020,"180,000",Dec 2008,,,,"1,389",,4,1,,Belmont,4
2/1 Pickett Crescent,"520,000",Dec 2020,,,,,,191,,,,,Belmont,4
2/168 Francis Street,"362,500",Dec 2020,,,,,,372,,,,,Belmont,4
12 Cambra Road,"777,000",Dec 2020,,,,,,604,,,,,Belmont,4
30 Nagle Drive,"567,500",Dec 2020,"335,000",Apr 2011,,380,Feb 2021,650,,3,1,1,Belmont,4
5 Wyuna Parade,"1,050,000",Dec 2020,"358,500",Oct 2003,,,,"1,031",,3,3,,Belmont,4
32 Apex Avenue,"677,000",Dec 2020,"265,000",Oct 2004,,,,720,,3,,,Belmont,4
24B Francis Street,"685,000",Dec 2020,,,,,,310,,,,,Belmont,4
47A Marjorie Avenue,"577,500",Dec 2020,,,,,,325,,,,,Belmont,4
26 Hereford Drive,"565,000",Dec 2020,"50,000",Apr 1983,,365,Jun 2019,686,,3,1,1,Belmont,4
30 Fairbrae Avenue,"891,000",Dec 2020,"160,000",Mar 2000,,,,801,,1,2,2,Belmont,4
17 Highmont Drive,"610,000",Dec 2020,"512,000",May 2019,,,,746,,3,2,2,Belmont,4
13 Cranmere Avenue,"610,000",Dec 2020,"409,000",Sep 2016,,210,Jan 2007,656,,3,2,3,Belmont,4
12 Emerald Court,"730,000",Dec 2020,"569,000",Sep 2017,,550,Sep 2015,992,,5,3,2,Belmont,4
3/130 Francis Street,"250,000",Dec 2020,"62,000",Aug 1997,,,,145,,,,,Belmont,4
10 MCKEOWN LANE,"700,000",Dec 2020,,,,480,Jun 2019,214,,,,,Belmont,4
13 Marjorie Avenue,"512,500",Dec 2020,"175,000",Dec 2014,,,,650,127,3,,,Belmont,4
3/19 Polwarth Crescent,"285,000",Dec 2020,"195,000",Jul 2010,1.0,210,Jun 2016,134,52,,,,Belmont,4
239 High Street,"480,000",Dec 2020,"390,000",Jun 2019,,320,Dec 2020,554,,3,1,3,Belmont,4
36 Learmouth Street,"585,000",Dec 2020,"380,000",Oct 2016,1.0,,,590,139,3,1,2,Belmont,4
13 Peary Street,"1,010,000",Dec 2020,"112,300",Dec 1987,,,,"1,002",,,,,Belmont,4
30 Riverview Terrace,"685,000",Dec 2020,"165,000",Aug 2006,,,,520,,,,,Belmont,4
1/4 Cornish Avenue,"425,000",05 Dec 2020,"330,000",Aug 2016,1.0,395,Dec 2020,604,,,,,Belmont,4
12 Edith Court,"554,000",Dec 2020,"325,000",Nov 2014,,,,656,129,3,1,2,Belmont,4
1/11 Waurnvale Drive,"440,000",Dec 2020,"270,000",Oct 2011,,,,134,,,,,Belmont,4
7 Corio Street,"675,000",Dec 2020,"372,000",Jun 2010,,380,Oct 2012,446,132,3,2,2,Belmont,4
4 Dorothy Avenue,"722,000",Dec 2020,"410,000",Mar 2013,1.0,430,Dec 2019,702,,3,1,2,Belmont,4
24 Sanglen Terrace,"667,000",Dec 2020,"340,000",Jun 2012,,,,624,161,3,1,1,Belmont,4
65 Oberon Drive,"425,000",Dec 2020,,,,,,708,,,,,Belmont,4
1/19-21 Watson Avenue,"530,000",Dec 2020,"390,500",Jul 2016,,295,Apr 2007,341,,,,,Belmont,4
3/48 South Street,"485,000",Dec 2020,"139,500",Mar 2001,,,,180,,,,,Belmont,4
47B Marjorie Avenue,"585,000",Dec 2020,,,,,,325,,,,,Belmont,4
6/25-27 Roslyn Road,"420,000",Dec 2020,,,,,,202,,,,,Belmont,4
3/172 Roslyn Road,"378,500",Dec 2020,"230,000",Jul 2015,,350,Dec 2020,89,,,,,Belmont,4
26 Spring Street,"810,000",Dec 2020,,,,,,"1,253",,3,1,2,Belmont,4
1/19 Waurn Park Court,"450,000",Dec 2020,"320,000",Nov 2016,,350,Dec 2019,324,,,,,Belmont,4
5 Torquay Road,"495,000",Nov 2020,,,,,,630,,,,,Belmont,4
7 Torquay Road,"675,000",Nov 2020,,,,,,745,,,,,Belmont,4
3/19-21 Watson Avenue,"541,000",Nov 2020,"370,000",Mar 2011,,330,May 2009,"1,551",,,,,Belmont,4
3 Frank Street,"610,000",Nov 2020,"454,000",Dec 2016,,,,600,,,,,Belmont,4
12 Dorr Court,"600,000",Nov 2020,"326,000",Oct 2009,,490,Feb 2021,655,174,3,2,2,Belmont,4
5 Spring Street,"750,000",Nov 2020,"565,000",Dec 2016,,,,556,155,3,2,3,Belmont,4
1/37 Summit Avenue,"462,500",Nov 2020,"317,500",Aug 2013,,,,334,,3,1,1,Belmont,4
33 Rugby Street,"605,000",Nov 2020,"250,000",Feb 2000,,,,596,,3,,,Belmont,4
4 Violet Street,"665,000",Nov 2020,"430,000",Nov 2015,1.0,380,Sep 2019,644,,3,2,4,Belmont,4
1/11-13 Waurnvale Drive,"440,000",Nov 2020,"270,000",Oct 2011,,,,134,,,,,Belmont,4
5 Voce Court,"601,145",Nov 2020,,,,,,587,,4,1,1,Belmont,4
2/18 Summit Avenue,"553,000",Nov 2020,,,,370,Jan 2018,206,,,,,Belmont,4
22 Rugby Street,"540,000",Nov 2020,"237,500",May 2007,,325,Mar 2014,585,,3,1,1,Belmont,4
61 Settlement Road,"442,000",Nov 2020,"235,000",Dec 2012,,350,Nov 2017,611,,3,1,1,Belmont,4
14 Grayling Street,"560,000",Nov 2020,"299,000",Jul 2011,,390,Oct 2019,655,101,3,1,2,Belmont,4
40 Iona Avenue,"790,000",Nov 2020,"516,000",Nov 2019,,,,639,,4,1,2,Belmont,4
74 Francis Street,"750,000",Nov 2020,"630,000",Feb 2019,1.0,,,481,133,3,2,1,Belmont,4
2/7 Dorothy Avenue,"575,000",Nov 2020,"387,000",Jun 2012,,,,697,,3,2,2,Belmont,4
23 Queen Street,"601,000",Nov 2020,"528,000",Jul 2017,1.0,400,May 2019,398,95,2,1,1,Belmont,4
1/32 Iona Avenue,"495,000",Nov 2020,"94,000",May 1990,,300,Jul 2013,229,,,,,Belmont,4
39 Summit Avenue,"613,000",Nov 2020,,,,,,729,,,,,Belmont,4
12 Bailey Street,"495,000",Nov 2020,"370,000",Apr 2010,,,,611,,,,,Belmont,4
18 James Street,"590,000",Nov 2020,"225,000",Feb 2000,,380,Dec 2014,553,,3,1,2,Belmont,4
4 Riverglen Court,"796,000",Nov 2020,"99,000",Apr 1995,,,,713,,3,2,2,Belmont,4
18 Mernda Parade,"489,000",Nov 2020,"220,000",Aug 2007,,290,Aug 2018,301,,,,,Belmont,4
54 Bailey Street,"403,000",Nov 2020,"200,000",Jul 2008,,320,Dec 2020,507,96,2,1,1,Belmont,4
1/23 Davis Street,"462,500",Nov 2020,,,,340,Aug 2017,324,,3,1,1,Belmont,4
2/14 Thomas Street,"555,000",Nov 2020,,,,,,222,,,,,Belmont,4
4 Killara Court,"619,000",Nov 2020,"310,000",Nov 2010,1.0,320,Jan 2015,650,,3,1,2,Belmont,4
1/18 The Avenue,"443,850",Nov 2020,"88,333",Jun 2001,,290,Sep 2019,204,,,,,Belmont,4
59 Oberon Drive,"595,000",Nov 2020,"270,000",Oct 2004,,,,776,,3,1,3,Belmont,4
27 Rotherham Street,"600,000",Nov 2020,"285,000",Sep 2010,,,,624,124,3,1,1,Belmont,4
33 Laura Avenue,"550,000",Nov 2020,"540,000",Apr 2019,1.0,,,772,,4,1,2,Belmont,4
22 Albert Terrace,"965,000",Oct 2020,,,,,,"1,271",,,,,Belmont,4
14 White Street,"801,500",Oct 2020,"70,500",Feb 2000,,,,"1,227",,3,2,2,Belmont,4
6 Pilbara Court,"510,000",Oct 2020,"430,000",Dec 2017,,340,Mar 2019,682,,3,1,1,Belmont,4
27 Lloyd Street,"665,000",Oct 2020,"98,000",Nov 1998,,,,688,,,,,Belmont,4
5/11 Waurnvale Drive,"390,000",Oct 2020,"77,000",Apr 1995,,220,Apr 2010,134,,,,,Belmont,4
16 Albert Terrace,"660,000",Oct 2020,,,,,,625,,3,1,2,Belmont,4
2/26 The Avenue,"540,000",Oct 2020,"335,000",Apr 2010,,310,Jun 2009,216,,,,,Belmont,4
97 Laura Avenue,"582,500",Oct 2020,"344,000",May 2015,,370,Oct 2020,650,108,3,1,2,Belmont,4
75 Apex Avenue,"606,000",Oct 2020,"405,000",Jun 2015,1.0,450,Jan 2021,650,117,3,1,3,Belmont,4
36 Marjorie Avenue,"580,000",Oct 2020,"179,000",Jan 2002,,380,Aug 2015,653,,4,2,2,Belmont,4
4 Donald Street,"699,000",Oct 2020,"150,000",Sep 2002,,,,666,,3,1,1,Belmont,4
