Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
1/86 Fogarty Avenue,"520,000",Feb 2021,"296,000",Feb 2000,,370,Jun 2014,271,,,,,Highton,15
11 Bruthen Road,"1,040,000",Feb 2021,"398,000",May 2002,,,,864,,3,3,3,Highton,15
10 Wallaroo Way,"560,000",Feb 2021,"140,000",Dec 2002,,,,739,,,,,Highton,15
6 Montpellier Drive,"665,000",Jan 2021,"182,000",Dec 2001,,390,Jul 2018,585,187,4,2,2,Highton,15
1/9 Bruthen Road,"729,000",Jan 2021,,,,,,,,3,2,2,Highton,15
1/69 Fryers Road,"375,000",Jan 2021,"343,000",Mar 2019,,,,100,,,,,Highton,15
55 Clydesdale Way,"1,090,000",Jan 2021,"829,000",Nov 2014,,,,900,,5,2,2,Highton,15
1/45 Augustine Drive,"618,000",Jan 2021,"461,000",Sep 2017,,,,335,,2,2,4,Highton,15
Lot 739 Radstock Avenue,"284,000",Jan 2021,,,,,,740,,,,,Highton,15
LOT 713 Dryden Way,"341,500",Jan 2021,,,,,,821,,,,,Highton,15
2-4 Thornbury Lane,"990,000",Jan 2021,"690,000",Apr 2008,,,,637,,5,2,4,Highton,15
187A Barrabool Road,"231,000",Jan 2021,,,,,,294,,,,,Highton,15
4 Bexley Court,"980,000",Jan 2021,"210,000",Dec 2004,,540,Feb 2011,"1,021",,4,3,4,Highton,15
8 Daglish Avenue,"360,000",Jan 2021,,,,,,924,,,,,Highton,15
Lot 756 Clifford Street,"302,000",Jan 2021,,,,,,558,,,,,Highton,15
3/110 Barrabool Road,"456,000",Jan 2021,"269,000",Jun 2008,,,,203,115,2,1,1,Highton,15
LOT 762 Radstock Avenue,"318,000",Jan 2021,,,,,,692,,,,,Highton,15
11 Landes Avenue,"1,080,000",Jan 2021,"695,000",Jul 2014,,,,733,289,5,2,2,Highton,15
Lot 692 (14) Narrawong Avenue,"305,000",Jan 2021,,,,,,670,,,,,Highton,15
49 Nedlands Drive,"310,000",Jan 2021,,,,,,959,,,,,Highton,15
