Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
18 Myrtle Grove,"399,000",Apr 2016,"250,000",May 2008,,360,Jan 2015,765,107,3,1,1,North Shore,24
3/23 Seabeach Parade,"355,000",Apr 2016,,,,,,170,,,,,North Shore,24
15 Seaforth Street,"264,000",Mar 2016,,,,254,Aug 2005,697,,,,,North Shore,24
3/23-25 Seabeach Parade,"355,000",Feb 2016,,,,,,170,,,,,North Shore,24
1/24 Seabeach Parade,"330,000",13 Feb 2016,"246,000",Feb 2000,1.0,280,Jun 2014,293,,3,2,1,North Shore,24
1A Seaforth Street,"561,000",Nov 2015,"80,000",Jul 1996,,325,Nov 2006,697,1030,,,,North Shore,24
29 The Esplanade,"1,100,000",Nov 2015,"485,000",Aug 2008,,750,May 2015,463,473,4,2,3,North Shore,24
1/51 The Esplanade,"630,000",Nov 2015,"457,000",Jul 2008,,,,261,,,,,North Shore,24
18 Pine Avenue,"439,000",Oct 2015,"400,000",Apr 2014,,350,Jul 2016,"1,027",137,3,2,2,North Shore,24
6 Beatty Street,"305,000",Sep 2015,,,,"21,000",Apr 2017,"1,671",,,,,North Shore,24
24A Seaforth Street,"110,000",Jul 2015,,,,,,377,112,,,,North Shore,24
43 The Esplanade,"840,000",Jun 2015,"130,845",Mar 1993,,,,92,,3,1,,North Shore,24
3/17 Pine Avenue,"307,000",May 2015,"235,000",Nov 2009,,310,Jun 2015,241,139,,,,North Shore,24
12 Beatty Street,"236,000",Apr 2015,"74,000",Oct 1999,,"16,000",May 2013,640,233,,,,North Shore,24
1/13 The Esplanade,"302,500",Apr 2015,,,,,,721,290,,,,North Shore,24
1/15 The Esplanade,"302,500",Apr 2015,,,,"10,500",May 2015,835,180,,,,North Shore,24
9 Seaforth Street,"308,000",Apr 2015,,,,,,695,270,,,,North Shore,24
17 Foch Street,"240,000",Feb 2015,"155,000",Dec 2005,,,,651,,,,,North Shore,24
21 Seabreeze Parade,"403,500",Dec 2014,,,,,,700,,,,,North Shore,24
21 Sea Breeze Parade,"403,500",01 Dec 2014,"220,000",Jun 2003,1.0,,,700,,3,2,2,North Shore,24
37 Sea Breeze Parade,"220,000",Nov 2014,"125,000",Aug 2005,,,,387,,1,1,1,North Shore,24
41 The Esplanade,"830,000",22 Nov 2014,,,1.0,475,Sep 2016,963,,4,2,4,North Shore,24
57 The Esplanade,"935,000",Oct 2014,,,,,,"1,258",,4,1,,North Shore,24
1/22 Seaforth Street,"315,000",Oct 2014,"280,000",Nov 2009,,,,304,121,,,,North Shore,24
