Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
1/5 Charlotte Avenue,"455,000",Jul 2020,,,,350,Dec 2015,278,,3,2,1,Newcomb,20
9 Cecil Court,"633,000",11 Jul 2020,"305,000",Oct 2015,1.0,270,May 2015,592,,3,1,1,Newcomb,20
14 Anthony Street,"505,000",Jul 2020,,,,,,813,,3,1,1,Newcomb,20
3/12 Cheltenham Road,"430,000",Jul 2020,,,,,,226,,,,,Newcomb,20
38 Charles Street,"435,000",Jul 2020,"84,000",Mar 1996,,,,512,,3,1,2,Newcomb,20
10 Lancaster Avenue,"505,000",Jun 2020,"335,000",Jun 2013,,380,Mar 2016,774,157,3,2,2,Newcomb,20
21 Helms Street,"460,000",Jun 2020,,,,,,326,,3,2,2,Newcomb,20
3 Gibbs Street,"500,000",Jun 2020,,,,,,677,,2,1,1,Newcomb,20
39 Wilton Avenue,"420,000",Jun 2020,"181,000",Jun 2006,,310,Sep 2017,396,110,3,1,1,Newcomb,20
1/37 Boundary Road,"430,000",May 2020,,,,,,308,,3,1,2,Newcomb,20
20 Carinya Avenue,"410,000",May 2020,"87,700",Aug 2000,,,,686,125,3,1,1,Newcomb,20
1/56 Pitman Street,"322,000",May 2020,"277,500",Feb 2017,,,,304,85,,,,Newcomb,20
3 Saturn Street,"355,000",May 2020,"175,000",Jun 2007,,,,556,,3,1,2,Newcomb,20
1/50 Wilsons Road,"340,000",Apr 2020,"227,000",Aug 2011,,280,Sep 2017,317,102,2,1,3,Newcomb,20
8 Bain Court,"550,000",Apr 2020,"125,000",Sep 1998,,,,"1,102",,4,2,2,Newcomb,20
114 Portarlington Road,"435,000",Apr 2020,,,,,,535,,3,2,3,Newcomb,20
101 Helms Street,"685,000",Apr 2020,"60,500",Jan 1995,,,,"1,746",,,,,Newcomb,20
1/51-53 Helms Street,"360,000",Apr 2020,"281,000",Aug 2017,,,,162,,,,,Newcomb,20
41 Wilton Avenue,"476,000",Mar 2020,,,,,,657,,,,,Newcomb,20
34 Pitman Street,"445,000",Mar 2020,"285,000",Apr 2012,,280,Mar 2011,758,124,3,1,1,Newcomb,20
62 Wilton Avenue,"500,000",Mar 2020,"240,000",Feb 2015,1.0,300,May 2017,655,,2,1,1,Newcomb,20
18 Wilsons Road,"430,000",19 Mar 2020,"200,000",Dec 2007,1.0,,,664,300,3,1,3,Newcomb,20
7 Newland Street,"479,000",Mar 2020,,,,,,701,,,,,Newcomb,20
38 Bellarine Highway,"500,000",Mar 2020,"290,000",Jul 2010,,360,Dec 2018,669,,4,2,1,Newcomb,20
2 Ivanhoe Court,"555,000",Mar 2020,,,,355,Aug 2018,711,,3,1,1,Newcomb,20
1/4 Ivanhoe Court,"415,000",Mar 2020,,,,330,Jul 2018,308,,3,1,1,Newcomb,20
7 Jacaranda Court,"445,000",Feb 2020,"254,000",Nov 2011,,280,Jul 2017,551,,3,1,1,Newcomb,20
34 Breadalbane Street,"515,000",22 Feb 2020,,,1.0,,,921,,3,,,Newcomb,20
8 Hinchcliff Crescent,"475,000",Feb 2020,,,,,,774,,3,1,1,Newcomb,20
4 Poplar Street,"451,000",Feb 2020,,,,,,694,,,,,Newcomb,20
67 Neptune Avenue,"440,000",Feb 2020,"268,000",Aug 2015,,,,563,98,,,,Newcomb,20
2/20 Wilsons Road,"430,000",Feb 2020,,,,,,229,,,,,Newcomb,20
13 Cheltenham Road,"460,000",Feb 2020,"282,000",Jul 2012,,320,Jul 2018,591,,3,1,1,Newcomb,20
1/22-24 Lindsay Street,"289,000",Feb 2020,,,,285,Jan 2019,92,,,,,Newcomb,20
25 Glover Street,"511,250",Jan 2020,"293,000",Jun 2011,,320,Oct 2012,711,,4,1,1,Newcomb,20
1/22 Lindsay Street,"289,000",Jan 2020,"218,000",Dec 2010,,300,Feb 2020,92,,,,,Newcomb,20
1 Daphne Court,"495,000",Jan 2020,"407,000",Sep 2018,,300,Mar 2016,585,,4,1,4,Newcomb,20
3 Lindsay Street,"415,000",Jan 2020,"310,000",Nov 2017,,350,Mar 2018,547,,3,1,2,Newcomb,20
46 Anthony Street,"421,600",Dec 2019,"199,000",Aug 2004,,,,779,,3,1,1,Newcomb,20
129 Helms Street,"460,000",Dec 2019,"53,500",Mar 1999,,,,711,103,1,1,,Newcomb,20
35 Lucas Street,"490,000",Dec 2019,"342,000",Sep 2017,,,,528,,3,1,3,Newcomb,20
2/41 Wilsons Road,"415,000",Dec 2019,"320,000",Nov 2012,,,,243,,,,,Newcomb,20
27 Lucas Street also known as 53 Andrew Street,"392,000",Dec 2019,,,,,,606,,3,1,2,Newcomb,20
26 Bayfield Court,"710,000",Dec 2019,"150,000",May 2006,,,,756,,,,,Newcomb,20
2/5-7 Lindel Street,"385,000",Dec 2019,"300,000",Nov 2016,,315,Aug 2014,267,,,,,Newcomb,20
35 Mercury Crescent,"391,200",Nov 2019,,,,,,535,,,,,Newcomb,20
