Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
13 Regent Street,"491,000",Mar 2020,"310,000",Sep 2014,,295,Nov 2014,651,135,3,2,2,Whittington,31
1/15 Orbit Drive,"350,000",Feb 2020,"267,500",Jul 2017,,260,May 2018,375,,,,,Whittington,31
3/15-19 Thompson Street,"350,000",Feb 2020,"73,000",Aug 1999,,,,257,,,,,Whittington,31
104 Solar Drive,"332,500",Feb 2020,"146,000",Dec 2002,,,,567,,3,1,1,Whittington,31
7/220-222 Wilsons Road,"210,000",Feb 2020,"165,000",Jun 2013,,230,Feb 2019,43,,,,,Whittington,31
3 Pandora Court,"522,000",Feb 2020,,,,,,941,,3,2,6,Whittington,31
227 Wilsons Road,"408,500",Feb 2020,"259,000",May 2013,,295,Sep 2012,558,146,5,2,1,Whittington,31
4 Galaxy Court,"412,000",Jan 2020,"247,500",Sep 2009,,300,Jan 2015,802,,4,1,1,Whittington,31
17 Titan Street,"322,000",Jan 2020,"219,900",Mar 2012,,,,553,,3,1,,Whittington,31
138 Solar Drive,"344,500",Jan 2020,"70,000",Nov 2014,,360,Feb 2020,609,,,,,Whittington,31
5/1-3 Apollo Place,"298,000",Dec 2019,"165,000",Feb 2008,,,,162,,,,,Whittington,31
6 Dew Street,"505,000",Dec 2019,"350,000",Mar 2017,1.0,325,Oct 2017,"1,012",,3,1,3,Whittington,31
160 Wilsons Road,"455,000",Dec 2019,"208,000",Aug 2008,,,,656,,3,1,2,Whittington,31
93 Townsend Road,"325,000",Dec 2019,"207,000",Mar 2010,,300,Sep 2018,557,,3,1,1,Whittington,31
26 Chapel Street,"440,000",Nov 2019,"318,000",Aug 2016,,,,510,,,,,Whittington,31
1/117-121 Solar Drive,"175,000",Nov 2019,,,,,,91,,,,,Whittington,31
70 Solar Drive,"355,000",Nov 2019,"215,000",Feb 2009,,,,553,,3,2,2,Whittington,31
23 Truscott Street,"500,000",Nov 2019,"320,000",Jan 2014,,,,837,148,4,1,4,Whittington,31
13 Sylvia Court,"531,000",Nov 2019,"143,000",Apr 1995,,,,808,,3,2,2,Whittington,31
123 Solar Drive,"380,000",Oct 2019,"130,000",Feb 2000,,360,Nov 2019,553,,3,1,2,Whittington,31
16 Bellagio Court,"390,000",Oct 2019,"340,000",Oct 2018,,,,454,100,2,1,2,Whittington,31
225 Boundary Road,"355,250",Oct 2019,,,,,,564,,,,,Whittington,31
227 Boundary Road,"325,000",Oct 2019,"86,700",Apr 1989,,,,528,,3,1,3,Whittington,31
2/41 Townsend Road,"305,000",Oct 2019,"69,000",Nov 2017,,,,266,,,,,Whittington,31
3/58 Regent Street,"304,000",Oct 2019,"126,000",Jul 2002,,310,Dec 2020,146,,,,,Whittington,31
12 Regent Street,"360,100",Oct 2019,"240,000",Jan 2017,,280,May 2019,310,114,3,2,2,Whittington,31
3 Bean Court,"372,000",Sep 2019,"245,000",Aug 2012,,,,569,,3,1,2,Whittington,31
53 Townsend Road,"129,000",Sep 2019,,,,160,Oct 2007,124,86,,,,Whittington,31
62 Regent Street,"441,000",Sep 2019,,,,,,726,,3,1,1,Whittington,31
166 Wilsons Road,"417,500",Aug 2019,"260,000",May 2012,,290,Aug 2013,727,124,3,1,1,Whittington,31
25 Townsend Road,"552,000",Aug 2019,"365,000",Sep 2012,,330,Nov 2019,"1,166",91,2,1,2,Whittington,31
24/5 Oxford Street,"329,000",Aug 2019,,,,,,91,,,,,Whittington,31
182 Wilsons Road,"375,000",Jul 2019,"273,500",May 2011,,290,Dec 2016,630,,3,1,1,Whittington,31
16 Proton Court,"347,500",Jul 2019,"63,500",Sep 1992,,205,Feb 2010,684,,3,1,3,Whittington,31
11 Katarina Place,"385,000",Jul 2019,"89,500",Sep 1996,,,,570,110,3,1,1,Whittington,31
159 Solar Drive,"325,000",Jul 2019,"215,000",Jul 2012,,330,Nov 2019,612,100,3,1,2,Whittington,31
2/6 Harvard Court,"342,000",Jun 2019,"225,000",Apr 2017,,,,273,,,,,Whittington,31
223 Boundary Road,"380,000",Jun 2019,,,,,,495,,3,1,1,Whittington,31
55 Solar Drive,"340,000",Jun 2019,,,,,,571,,3,1,2,Whittington,31
169-171 Boundary Road,"790,000",May 2019,"525,000",May 2014,,550,Dec 2016,973,,4,2,1,Whittington,31
22 Melva Crescent,"435,000",May 2019,"88,000",Mar 1995,,,,803,,3,1,1,Whittington,31
246 Wilsons Road,"360,000",May 2019,"180,000",Jun 2007,,,,755,,3,1,4,Whittington,31
2/16 Dew Street,"445,000",May 2019,"220,000",Mar 2011,,,,469,,,,,Whittington,31
8/15-19 Thompson Street,"345,000",May 2019,"209,000",Jan 2015,,200,Feb 2009,226,94,,,,Whittington,31
5/197 Boundary Road,"260,000",May 2019,,,,,,,,,,,Whittington,31
172 Wilsons Road,"469,000",May 2019,"125,000",Oct 2001,,,,611,,3,2,4,Whittington,31
65 Solar Drive,"410,000",May 2019,"285,000",Jan 2014,,,,931,,4,2,2,Whittington,31
6 Proton Court,"325,000",Apr 2019,"215,000",Dec 2013,,250,Aug 2013,613,110,3,1,3,Whittington,31
4 Echo Court,"352,000",Apr 2019,"190,000",Nov 2007,,,,785,114,3,1,2,Whittington,31
2/211-213 Boundary Road,"365,000",Apr 2019,"169,000",Feb 2003,,320,Jun 2019,258,,,,,Whittington,31
14 Katarina Place,"385,000",Apr 2019,,,,,,459,,3,1,,Whittington,31
170 Wilsons Road,"440,000",13 Apr 2019,,,1.0,340,Jul 2019,717,,3,1,1,Whittington,31
241 Boundary Road,"510,000",13 Apr 2019,"391,500",Aug 2015,1.0,450,May 2014,498,,4,2,2,Whittington,31
35 Townsend Road,"353,000",Apr 2019,"331,000",Dec 2017,1.0,320,Mar 2019,737,,3,1,2,Whittington,31
3/8 Casaceli Court,"234,000",Apr 2019,"114,000",Jul 2007,,230,Oct 2019,140,,,,,Whittington,31
45 Melva Crescent,"417,500",Apr 2019,"97,500",Feb 2000,,,,662,,3,1,2,Whittington,31
1/1-3 Apollo Place,"292,000",Apr 2019,"169,000",May 2008,,280,May 2018,191,,,,,Whittington,31
2/209 Boundary Road,"265,000",Mar 2019,"64,000",Oct 1988,,,,142,,,,,Whittington,31
2/5 Katarina Place,"340,000",Mar 2019,"200,000",Mar 2013,,,,229,74,2,1,1,Whittington,31
2/8-10 Regent Street,"340,000",Mar 2019,,,,,,149,,,,,Whittington,31
5 Galaxy Court,"365,000",Mar 2019,"227,500",Dec 2016,,230,Dec 2009,696,,3,1,2,Whittington,31
17 Conrad Court,"367,000",Mar 2019,"247,000",Feb 2015,,350,Jul 2016,822,,3,2,1,Whittington,31
26/5 Oxford Street,"322,000",Mar 2019,,,,,,90,,,,,Whittington,31
4/214-216 Wilsons Road,"240,000",Mar 2019,"140,000",Mar 2007,,240,May 2017,125,,,,,Whittington,31
3 Harvard Court,"437,500",Mar 2019,"260,000",Aug 2012,,,,650,,4,2,4,Whittington,31
2/25 Schmitt Court,"300,000",Feb 2019,"245,000",Jan 2017,,270,Jan 2016,225,114,,,,Whittington,31
8 Sputnik Court,"330,000",Feb 2019,"251,000",Jun 2010,,310,Feb 2019,560,105,3,1,2,Whittington,31
1/20 Regent Street,"185,000",Feb 2019,"121,000",May 2009,,ayi,Now!. Private,30,,,,,Whittington,31
3/53 Regent Street,"251,000",Jan 2019,"169,500",Feb 2016,,260,Apr 2018,87,,,,,Whittington,31
10 Atlas Court,"363,000",Jan 2019,"215,000",Mar 2014,,,,702,106,3,1,2,Whittington,31
2c Thatcher Court,"137,000",Dec 2018,,,,,,378,,,,,Whittington,31
21 Titan Street,"360,000",Dec 2018,"207,000",Jun 2012,,,,608,122,4,1,3,Whittington,31
