Suburb,Year,Population
Whittingtons,2019,3949.00
Whittingtons,2020,3879.04
Whittingtons,2021,3852.15
Whittingtons,2022,3825.27
Whittingtons,2023,3798.39
Whittingtons,2024,3771.51
Whittingtons,2025,3744.63
Whittingtons,2026,3717.75
Whittingtons,2027,3690.87
Whittingtons,2028,3663.99
Whittingtons,2029,3637.11
Whittingtons,2030,3610.23
Whittingtons,2031,3583.35
Whittingtons,2032,3556.46
Whittingtons,2033,3529.58
Whittingtons,2034,3502.70
Whittingtons,2035,3475.82
Whittingtons,2036,3448.94
Whittingtons,2037,3422.06
Whittingtons,2038,3395.18
Whittingtons,2039,3368.30
Whittingtons,2040,3341.42
Whittingtons,2041,3314.54
Whittingtons,2042,3287.65
Whittingtons,2043,3260.77
Whittingtons,2044,3233.89
Whittingtons,2045,3207.01
Whittingtons,2046,3180.13
Whittingtons,2047,3153.25
Whittingtons,2048,3126.37
Whittingtons,2049,3099.49
