Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
22/07/2019,6.7,16.9,0,,,N,57,15:46:00,11.9,69,,N,15,1012.4,16.3,50,,NNW,26,1007.8
23/07/2019,9.5,14.1,0.4,,,NW,61,12:08:00,10.6,75,,NW,17,1009.1,12.9,59,,NNW,24,1007.1
24/07/2019,4.1,14.7,12,,,W,44,12:52:00,7.8,93,,NNW,11,1020.4,13.7,73,,NW,22,1020.6
25/07/2019,7.8,15.5,0,,,NNW,44,12:43:00,12.2,84,,N,17,1024,14.4,64,,NNW,15,1021.2
26/07/2019,9.1,13.8,0,,,NW,26,11:02:00,12.1,79,,N,7,1020,12.4,93,,SSW,6,1020.4
27/07/2019,5,14.5,0.2,,,W,28,14:09:00,8.5,97,,NW,9,1023.8,13.2,59,,WNW,17,1022.2
28/07/2019,3.5,13.8,0.2,,,WNW,24,13:40:00,7.6,92,,WNW,9,1025.3,12.3,62,,WNW,11,1021.9
29/07/2019,5.9,14.9,0,,,WSW,30,13:26:00,9.2,94,,,Calm,1022.1,14.4,68,,W,15,1021
30/07/2019,5.7,,0.8,,,SSW,28,01:21:00,8.4,95,,SE,6,1029.1,10.5,68,,SSE,13,1029.5
31/07/2019,7.3,12.1,1,,,WNW,69,11:48:00,9.6,93,,,Calm,1032.5,11.3,72,,,Calm,1031.3
1/08/2019,8,13.9,0,,,WSW,24,12:38:00,9.4,94,,WNW,11,1032.7,13.5,68,,W,11,1031.6
2/08/2019,7.8,13,0,,,W,33,23:30:00,10.2,93,,W,9,1033.4,12.7,70,,WNW,9,1031.2
3/08/2019,9.3,13.3,0,,,WNW,35,12:06:00,10.3,94,,WNW,11,1031.1,12.9,80,,W,20,1029.3
4/08/2019,5.9,14.1,0.8,,,WNW,19,13:04:00,8.7,97,,NW,7,1031,12.1,77,,N,9,1027.9
5/08/2019,7.8,15.6,0,,,NW,35,12:30:00,9.7,73,,NNW,9,1024.6,15.1,52,,NNW,17,1021.2
6/08/2019,9.8,14.9,0.2,,,N,30,22:08:00,11.4,69,,NNE,7,1017.5,13.7,65,,NNE,15,1012.1
7/08/2019,8.6,13.6,0.6,,,WNW,19,14:22:00,9.1,96,,W,4,1010.8,13.5,71,,NW,7,1007.2
8/08/2019,5.3,12.4,6.8,,,NW,46,11:40:00,8.5,93,,NNW,11,1000,11.5,54,,NW,24,997.2
9/08/2019,7.3,9.8,3.2,,,NW,70,02:08:00,8.4,85,,W,26,996.7,8.2,78,,W,15,1000.6
10/08/2019,3.3,12.6,5.6,,,WSW,48,12:50:00,6.3,96,,NW,11,1004.3,9.6,81,,WSW,13,1004.1
11/08/2019,4.4,13.2,19.2,,,SSW,54,14:12:00,9.4,92,,S,31,1006.9,11.8,83,,SSW,30,1012.5
12/08/2019,4.7,12.5,7,,,WSW,33,14:53:00,8.7,95,,WSW,13,1023.9,11.3,63,,WSW,22,1023.8
13/08/2019,6.6,14,0,,,W,30,13:44:00,10,96,,W,11,1027.3,13.2,84,,W,13,1026.3
14/08/2019,8.3,14.2,0,,,NW,39,15:41:00,10.4,93,,N,4,1027.7,12.1,64,,NW,17,1024.3
15/08/2019,6.2,17.4,0,,,N,41,15:52:00,10.1,74,,NE,13,1021.1,16.9,42,,NNW,19,1017
16/08/2019,9.9,17.1,0.2,,,NNW,54,06:30:00,14.5,45,,NNW,15,1011.5,10.9,93,,SSW,22,1014.5
17/08/2019,6.2,14.1,1,,,ENE,22,15:00:00,10.6,93,,NE,4,1021.9,13.5,57,,ENE,15,1017.1
18/08/2019,8,17.4,0,,,W,67,20:27:00,13.9,60,,NNE,17,1006.1,11.8,82,,N,26,1002.8
19/08/2019,4.5,12.7,1.6,,,WNW,50,02:59:00,6.2,93,,WNW,26,1017.2,11.4,65,,W,26,1020
20/08/2019,6.2,14.3,0,,,NW,67,11:33:00,10.9,92,,WNW,24,1022.5,13.8,76,,WNW,24,1019.9
21/08/2019,10.9,15.7,2.4,,,W,59,16:56:00,12.7,87,,WSW,26,1019.2,15,58,,W,35,1018.2
22/08/2019,8.9,13.4,1,,,W,57,00:58:00,10.8,67,,WSW,13,1022.8,12.6,52,,SSW,24,1024.4
23/08/2019,2.6,16,0,,,WNW,31,15:36:00,7,93,,NW,6,1025.7,15.1,58,,NNE,11,1019.7
24/08/2019,6.4,19.3,0,,,W,56,17:10:00,11.8,58,,N,22,1013.9,17.6,44,,NNW,26,1008.9
25/08/2019,4.5,12.8,1.2,,,S,28,12:26:00,7.8,93,,WNW,11,1021.8,10.8,77,,W,6,1021.8
26/08/2019,4.2,15,0.4,,,WSW,28,14:08:00,6.8,96,,WNW,11,1026.1,13.1,67,,WSW,11,1024
27/08/2019,3.9,15.3,0,,,WNW,31,16:11:00,8.9,95,,WNW,9,1025.6,13.5,67,,NW,20,1022.8
28/08/2019,7.5,13,0,,,WNW,50,11:42:00,10.7,82,,NW,22,1018.8,9.1,94,,SW,20,1020
29/08/2019,5.1,12.6,4.8,,,SSE,33,10:11:00,9.4,86,,S,15,1030.4,10.7,63,,S,19,1030
30/08/2019,0.8,14,0.2,,,NNE,17,15:01:00,7.2,96,,Calm,,1029.9,13.7,69,,NE,9,1025.6
31/08/2019,1.7,19.6,0.2,,,NNW,41,12:44:00,9,85,,NE,7,1023.3,19.4,40,,NNW,22,1018.8
1/09/2019,9.1,20,0,,,NNW,43,12:25:00,13.1,56,,N,17,1016.6,13.5,84,,NW,19,1014
2/09/2019,8.4,15.8,3.2,,,NNW,37,19:47:00,10,97,,WNW,9,1022.2,15.3,72,,NE,11,1016.2
3/09/2019,6.7,20,0.2,,,S,31,14:56:00,12.8,93,,Calm,,1016,15.1,89,,S,24,1014.3
4/09/2019,5.7,18.2,0,,,W,35,11:40:00,11.9,94,,WNW,15,1015.5,17.1,62,,W,19,1013.9
5/09/2019,6.1,17.9,1.6,,,NE,28,18:37:00,11.6,97,,NNE,7,1014.5,17.3,70,,SE,9,1010
6/09/2019,9.8,15.4,0.6,,,WNW,48,12:48:00,10.9,94,,WNW,6,1001.2,12.2,82,,W,15,999.3
7/09/2019,7.4,13.1,3.2,,,WSW,59,11:46:00,10.4,92,,W,22,1011.2,11.8,65,,W,20,1012.2
8/09/2019,6.6,13.9,1,,,WSW,57,17:13:00,11.2,93,,WNW,19,1015.6,10.7,93,,WNW,24,1011.8
9/09/2019,6,13.8,4.6,,,WSW,52,01:18:00,10.6,58,,SW,33,1023.2,12.4,59,,SSW,30,1024.7
10/09/2019,5.4,15.6,0.2,,,WSW,28,15:16:00,9,96,,WNW,11,1029.2,13.9,53,,WSW,15,1028.2
11/09/2019,4.7,20.7,0.2,,,NNW,24,20:03:00,10.5,92,,NNW,9,1029.9,19.6,47,,ENE,7,1025.6
12/09/2019,10.5,19.2,0.2,,,WNW,59,10:30:00,18,36,,NW,30,1015.4,17.1,67,,WSW,19,1019.7
13/09/2019,7.6,16.7,0,,,W,43,18:41:00,10.6,79,,NW,13,1024.6,14.9,69,,NW,15,1021.5
14/09/2019,7.1,18.6,0,,,SW,26,09:18:00,11.9,93,,WNW,7,1027,17.8,55,,N,6,1022.9
15/09/2019,11.9,20,0.4,,,WSW,41,23:07:00,16.6,85,,N,7,1016.8,18.8,65,,NW,20,1014.2
16/09/2019,7.3,13.2,16,,,SSW,52,11:11:00,11.1,73,,SW,15,1020.9,11.7,55,,SSW,26,1022.9
17/09/2019,3.5,13,0.2,,,SSW,41,11:48:00,9.7,60,,SSE,15,1029.1,12,54,,S,17,1028.1
18/09/2019,2,18.4,0,,,NNE,17,11:37:00,10,92,,WNW,7,1028.5,17.4,51,,N,7,1024.8
19/09/2019,8.2,23.8,0,,,NNE,37,16:07:00,14.2,77,,NE,17,1021.7,22.9,42,,NNE,20,1015.8
20/09/2019,14.2,23.7,0.2,,,NNE,39,00:51:00,18.6,64,,NE,15,1017.3,22.6,54,,NNE,17,1012.1
21/09/2019,12.2,16.7,0,,,WNW,63,12:48:00,13.4,94,,NW,19,1007,14.5,93,,WNW,26,1010
22/09/2019,5.3,15.6,3.6,,,NW,39,12:54:00,11,74,,NW,13,1022.9,14.1,48,,WNW,19,1021.1
23/09/2019,8,15.7,0.2,,,W,39,08:50:00,10.5,90,,W,20,1023.4,12.9,93,,SSW,13,1025
24/09/2019,6.6,15.9,2.4,,,W,33,13:40:00,10.9,92,,WNW,13,1028.8,14.4,61,,W,19,1027.3
25/09/2019,7.5,17.6,0.2,,,WNW,30,13:02:00,11.3,93,,W,17,1029.7,14.5,74,,S,17,1027.3
26/09/2019,5.7,19.1,0,,,N,19,10:21:00,12.3,93,,NW,4,1027.1,18.4,56,,NE,7,1021.7
27/09/2019,9.8,18.7,0,,,W,52,15:59:00,15.3,53,,NNE,19,1013.7,11.8,78,,W,24,1016.3
28/09/2019,5.4,15.6,0.6,,,W,22,13:19:00,9.8,87,,NW,9,1022.8,13,60,,S,11,1021.2
29/09/2019,8.6,15.9,0.2,,,SSW,33,17:32:00,12.5,80,,WSW,17,1021.8,13.6,81,,S,13,1022
30/09/2019,8.1,14.3,0.2,,,S,28,14:51:00,11.1,73,,WSW,9,1028.9,13,56,,SSE,17,1028.3
1/10/2019,2.2,20.3,0,,,S,20,15:21:00,11.5,73,,NNE,7,1030.3,19.6,46,,NE,6,1026.2
2/10/2019,4.9,27.1,0,,,NNW,35,12:18:00,16.4,65,,NNE,6,1024.4,25.1,28,,NNE,9,1020.1
3/10/2019,13,26.2,0,,,W,41,17:38:00,21.9,41,,NW,2,1017.7,21.2,58,,WSW,28,1017.1
4/10/2019,11.3,15.2,0,,,WSW,30,04:07:00,13.2,78,,S,11,1024.6,11.4,94,,S,19,1023.1
5/10/2019,5.5,22.4,3.6,,,WSW,35,22:04:00,12.5,91,,ESE,11,1021.8,14.1,85,,S,15,1016.6
6/10/2019,11.6,20.8,0,,,WNW,76,09:47:00,17.8,71,,W,37,1004.5,20.2,62,,WNW,24,1007.3
7/10/2019,8.7,17,0,,,SW,31,12:10:00,11.1,92,,WNW,11,1014.6,15.6,57,,WNW,13,1012.8
8/10/2019,8.2,14.1,3.2,,,SSW,50,12:01:00,10.2,94,,W,13,1017.3,12.9,61,,SSW,33,1020.9
9/10/2019,7.3,15.2,5.2,,,S,33,09:33:00,9.3,96,,SW,6,1027.8,13.8,78,,S,19,1027.2
10/10/2019,7.7,16.3,0.2,,,S,31,11:26:00,10.3,96,,WSW,6,1026,13.7,66,,S,19,1024.2
11/10/2019,6.2,16.2,0.2,,,SE,37,15:21:00,13.1,92,,SE,15,1021,14.7,75,,SE,19,1018.5
12/10/2019,10,19.6,0,,,SE,26,16:04:00,12.4,87,,E,13,1019.8,18.4,51,,NE,17,1017.1
13/10/2019,6.3,23.3,0,,,ENE,35,15:49:00,13.2,93,,NNE,11,1018.1,22.1,42,,ENE,15,1015
14/10/2019,13.1,23.8,1,,,S,37,14:27:00,17.9,70,,WNW,6,1013.2,19.6,64,,S,20,1011.2
15/10/2019,10,19.4,0.2,,,S,26,14:37:00,13.2,71,,SSE,4,1014.9,19.4,52,,SSW,6,1013.1
16/10/2019,11.9,20.6,0.2,,,W,48,12:47:00,13.4,95,,NNE,9,1010.6,19.3,57,,W,22,1007.5
17/10/2019,8.3,17,2.2,,,W,63,10:58:00,9.2,93,,WNW,22,1008.3,15.3,63,,W,28,1009.4
18/10/2019,7.1,21.1,0,,,NW,65,14:26:00,12,63,,NNW,20,1014.5,18.9,40,,NW,37,1010
19/10/2019,7.3,16.2,1.2,,,W,56,12:45:00,10.3,78,,WNW,20,1014.9,15,50,,WNW,30,1016
20/10/2019,8.4,17.3,0.4,,,WSW,41,12:07:00,11.7,93,,WNW,13,1024.5,16.2,55,,WSW,24,1025.8
21/10/2019,10.4,17.6,0,,,S,24,16:59:00,11.7,87,,WSW,7,1029.4,16.3,65,,S,9,1027.8
22/10/2019,11.2,20.6,0,,,SSW,30,15:09:00,12.3,80,,SSE,6,1027.2,19.4,55,,NE,9,1023.9
23/10/2019,4.7,29.3,0,,,S,28,17:02:00,13.6,93,,NNW,4,1021.6,28.7,22,,W,15,1018.2
24/10/2019,8.4,34.4,0,,,N,41,12:35:00,17.9,64,,NE,13,1014,34,13,,N,20,1009.3
25/10/2019,,22.7,0,,,WNW,70,05:00:00,15.3,80,,WNW,17,1005.2,20.5,34,,W,20,1003.6
26/10/2019,9.2,16.6,2.6,,,WNW,72,09:19:00,11.3,68,,NW,43,1000.9,14.5,55,,W,39,1006.6
27/10/2019,8.7,18.3,1.8,,,WNW,41,13:05:00,11.7,85,,WNW,19,1015.3,14.9,76,,WNW,22,1016
28/10/2019,6,22,2.2,,,SSW,26,15:32:00,9.8,96,,WNW,7,1024.3,20.6,42,,WNW,11,1021.9
29/10/2019,6.7,30.3,0,,,NNW,48,12:35:00,17.9,52,,NE,7,1018.4,29.2,20,,NW,20,1015.6
30/10/2019,11.4,25.5,0,,,S,31,11:51:00,15.8,93,,SSE,15,1018.1,18.9,73,,S,17,1015.3
31/10/2019,11.7,34.3,0,,,NNW,44,10:57:00,25.4,37,,N,9,1012.1,33.6,18,,NNW,20,1009.3
1/11/2019,18.3,33.9,0,,,N,57,10:02:00,25.1,46,,NNE,9,1009.3,32.9,22,,NNW,30,1005.2
2/11/2019,14.8,20.5,18,,,SSW,41,23:33:00,15.6,98,,NNE,17,1008.9,18.4,95,,NNE,9,1008.5
3/11/2019,10.8,20.2,5.6,,,S,35,14:23:00,15.2,93,,N,7,1011.3,16,90,,SSE,22,1011.7
4/11/2019,,,0.4,,,W,56,18:01:00,,,,NW,9,1015,11.9,95,,S,13,1015
5/11/2019,,18.9,4.2,,,WNW,41,13:26:00,10.1,84,,WNW,17,1020.6,,,,WNW,19,1016.3
6/11/2019,9.9,22.8,0,,,WNW,69,18:42:00,15.7,74,,WNW,20,1007.5,21.6,33,,NW,33,1001.6
7/11/2019,9.5,15.4,1,,,WNW,65,09:10:00,13.2,71,,WNW,24,1002.8,12.6,95,,WNW,20,1001.8
8/11/2019,9.9,14.3,12.6,,,WSW,59,17:16:00,10.3,89,,W,17,1003.9,7.8,86,,SW,28,1008.3
9/11/2019,6,14.5,7.2,,,W,59,16:15:00,10.1,92,,WNW,17,1016.4,13.9,73,,W,28,1013.4
10/11/2019,9.8,17.3,0,,,W,37,13:01:00,13.1,92,,W,20,1016.7,16,74,,W,19,1016.2
11/11/2019,8.1,28.9,0,,,N,48,15:11:00,15.4,75,,NW,6,1012,27.4,27,,NW,30,1006.5
12/11/2019,10.8,17.1,0,,,W,65,16:27:00,12.4,76,,W,20,1008.5,15.6,48,,WSW,39,1009.5
13/11/2019,7.5,17.2,0.8,,,W,50,15:14:00,11.3,82,,WNW,20,1015.7,15.9,63,,W,28,1015
14/11/2019,11,20.4,0,,,WNW,44,07:19:00,13.6,92,,WNW,20,1015.5,18.9,57,,WNW,24,1012.9
15/11/2019,11,19.7,0,,,W,56,14:23:00,13.1,90,,WNW,19,1010.8,18.8,52,,W,28,1010.4
16/11/2019,7,18.6,0.6,,,WSW,41,09:38:00,13,71,,W,17,1018.6,15.5,60,,SSW,9,1018.7
17/11/2019,10.2,16.5,0,,,SSW,37,08:31:00,12.6,78,,SW,13,1021.7,15.4,52,,S,20,1021.1
18/11/2019,7.8,26.8,0,,,W,43,13:39:00,14.2,67,,NNW,17,1016.6,24.6,34,,WNW,24,1012.7
19/11/2019,8.9,18.7,0,,,S,31,16:33:00,14.9,92,,S,7,1014.1,16.3,76,,SSE,20,1014.9
20/11/2019,10.6,32.6,0,,,ENE,22,14:06:00,15.5,82,,ESE,7,1014.6,25.6,46,,SE,11,1009.6
21/11/2019,15.6,39.2,0,,,NNW,96,12:36:00,32.5,17,,N,44,999.9,24.8,44,,W,48,1001.4
22/11/2019,9.3,18.9,0,,,S,35,15:14:00,14.6,68,,SSW,13,1017,17.1,54,,SSE,20,1016.2
23/11/2019,9.5,22.5,0,,,SW,46,15:40:00,15.7,70,,NW,13,1017.3,19.7,50,,WSW,26,1017.6
24/11/2019,,21.6,0,,,S,35,13:57:00,15.2,64,,ESE,4,1018.6,19.6,53,,S,28,1014.6
25/11/2019,9.3,27.2,0,,,W,50,10:29:00,19.5,48,,WNW,13,1008.4,23.1,31,,WNW,15,1006.8
26/11/2019,10.6,17.5,0.8,,,SSW,61,09:44:00,11.4,92,,SW,26,1006.7,15.1,58,,WSW,24,1011.7
27/11/2019,6.7,25.4,0.4,,,NW,41,09:28:00,13.6,62,,NW,15,1016.3,23.3,28,,WNW,20,1013.4
28/11/2019,9.5,20.5,0,,,SSW,33,15:14:00,15.7,70,,NW,11,1016.2,19.6,60,,S,20,1015.5
29/11/2019,9.8,20.5,0,,,S,33,12:48:00,15.4,87,,WSW,7,1013,17.6,69,,SSE,24,1012
30/11/2019,9.7,18.7,1.8,,,S,35,14:24:00,13.6,69,,WSW,13,1014.3,17.2,49,,S,17,1011.8
1/12/2019,10.6,15.7,1.6,,,WNW,61,17:30:00,12.7,67,,NNW,20,1002.1,14.6,66,,W,22,997.9
2/12/2019,8.2,16.6,3.2,,,W,59,09:58:00,11.7,70,,W,22,997,14.2,44,,WSW,31,1001
3/12/2019,9.6,,0.2,,,W,70,13:10:00,13.5,92,,WNW,26,1004.7,18.7,59,,W,37,1005
4/12/2019,,22.1,0.4,,,W,52,11:43:00,,,,WNW,19,1011.4,20.7,41,,W,28,1010.2
5/12/2019,10.8,22.8,0,,,W,61,12:46:00,15,68,,WNW,20,1008.3,21,59,,W,24,1007.1
6/12/2019,11.7,20.2,0,,,W,52,11:51:00,14.2,78,,WNW,19,1010.9,18.9,45,,W,28,1011.6
7/12/2019,8.3,22.3,0,,,W,37,07:43:00,14.7,66,,W,19,1016.8,19.7,54,,SSE,19,1015.9
8/12/2019,11.2,22.8,0,,,E,28,14:33:00,15.8,68,,NE,7,1020.1,21.6,48,,NE,15,1017.6
9/12/2019,12.3,38.9,0,,,WSW,50,15:46:00,22.4,59,,NE,9,1013.6,36.8,12,,NNW,17,1010.1
10/12/2019,13.2,18.6,0.4,,,SSW,46,15:29:00,14.4,91,,SSW,19,1019.7,17.1,51,,S,28,1020.2
11/12/2019,12.8,19.1,0,,,SSW,39,15:19:00,14.6,73,,S,13,1019.1,18,63,,S,24,1018.1
12/12/2019,11.5,19.6,0,,,SSW,41,17:32:00,15.3,63,,WSW,20,1018.6,17.9,50,,S,20,1018.4
13/12/2019,8.9,,0,,,WSW,39,14:32:00,14,67,,WNW,9,1019,,,,WSW,26,1015.8
14/12/2019,,21.6,,,,,,,16.9,79,,W,24,1014.8,19.7,67,,SW,15,1013.7
15/12/2019,13.8,22.8,0,,,W,37,15:12:00,15.9,67,,NW,19,1010.3,20.8,47,,WNW,19,1009
16/12/2019,12.3,21.7,0,,,S,33,13:13:00,16.6,86,,SSW,4,1015.3,20.8,57,,SSE,15,1016.5
17/12/2019,10.7,28.6,0,,,SSE,26,15:27:00,18.3,82,,NE,6,1019.6,27,34,,NNE,13,1017.8
18/12/2019,12.7,41.3,0,,,W,35,14:45:00,22.2,75,,SE,2,1015.4,38.1,19,,NE,7,1010.2
19/12/2019,15.6,23.2,0,,,S,33,12:16:00,18.4,77,,S,17,1017.8,21.5,53,,SSE,17,1018.3
20/12/2019,11.4,45.1,0,,,N,59,14:28:00,19.9,76,,NE,11,1013.6,43.8,10,,NNW,28,1006
21/12/2019,17,21.7,0,,,S,56,15:34:00,18.6,62,,SSW,22,1017.4,18.6,49,,S,37,1020
22/12/2019,12.4,19.1,0,,,S,37,16:16:00,14.6,57,,S,17,1024.8,17.5,51,,S,19,1023.3
23/12/2019,11.8,20.3,0,,,S,37,19:21:00,14.6,86,,S,11,1020.1,19.5,54,,SSE,19,1018
24/12/2019,13.6,21.9,0,,,SE,35,13:15:00,16.1,68,,SSE,11,1019.3,20.2,61,,S,19,1017.9
25/12/2019,12.1,29.2,0,,,SSW,39,21:30:00,18.1,89,,NNE,6,1017.2,26,53,,S,24,1015.5
26/12/2019,12.5,20.8,0,,,S,35,16:57:00,17.9,70,,S,11,1021.5,19.9,58,,SSE,17,1021.2
27/12/2019,13.9,25.1,0,,,S,31,16:26:00,16.4,74,,SSE,13,1020.7,22,53,,S,19,1015.4
28/12/2019,15.2,28.9,0,,,SSW,37,15:44:00,24.9,51,,S,15,1011.9,27.6,29,,S,24,1013.4
29/12/2019,15.7,27.3,0,,,SSW,46,15:23:00,20.6,89,,SE,9,1015.3,24.3,58,,SSE,20,1012.1
30/12/2019,15.8,43.6,0,,,NNW,78,14:02:00,26.9,55,,NNE,11,1004.7,39.2,16,,NW,35,998.9
31/12/2019,14,22,2.8,,,S,41,13:50:00,16.8,61,,SW,20,1011.3,20.4,45,,SSE,26,1012.6
