Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
17/02/2019,13.7,30.1,0,,,SW,31,12:19:00,19,89,,NNW,6,1012.7,27,43,,SSE,11,1010.7
18/02/2019,17.9,25,0,,,WSW,43,17:16:00,19.9,71,,WSW,15,1007.3,22.4,55,,SSE,22,1006.3
19/02/2019,12.4,21.1,0,,,S,43,16:24:00,15.4,70,,WNW,13,1012.3,18.7,56,,SSE,19,1012.9
20/02/2019,11.1,24.6,0,,,SW,37,13:59:00,15.9,62,,WNW,11,1015.2,22.2,48,,WSW,24,1014.4
21/02/2019,12.4,21.9,0,,,S,37,14:00:00,16.6,56,,WSW,19,1020.3,20.7,49,,S,22,1021.4
22/02/2019,14.3,21.4,0,,,S,39,14:28:00,17,62,,SSE,11,1024.5,20.3,55,,SSE,20,1024.2
23/02/2019,16.1,23.1,0,,,S,39,15:54:00,17.3,66,,S,13,1026.4,22.2,56,,S,19,1024.9
24/02/2019,14.7,32.8,0,,,ESE,28,18:01:00,19.3,72,,E,7,1026.1,31.1,30,,NE,15,1023.5
25/02/2019,13.8,35.5,0,,,N,30,10:55:00,21.2,52,,NNE,9,1024.3,34.3,18,,NE,13,1021.1
26/02/2019,16.2,23,0,,,S,44,14:34:00,20.3,83,,SSW,22,1022.1,21.9,59,,S,26,1022.4
27/02/2019,11.9,24.6,0,,,S,30,14:41:00,17.2,78,,SE,7,1022.7,23.6,56,,SSE,19,1019.8
28/02/2019,14.5,39.9,0,,,NW,37,13:07:00,21.4,95,,ENE,4,1018,38.6,14,,N,17,1015.5
