address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
23 Beach Parade,Drumcondra,2,1,1,613,0,"$1,100,000 ",15-Feb-20,,,,,
37 Bell Parade,Drumcondra,3,2,3,776,0,"$1,215,000 ",15-May-20,,,,,
27 Glenleith Avenue,Drumcondra,4,3,0,970,0,"$900,000 ",4-Dec-19,,,,,
9 Grandview Grove,Drumcondra,4,2,2,625,0,"$1,219,000 ",29-Mar-19,,,,,
3 Lunan Avenue,Drumcondra,3,2,2,610,0,"$900,000 ",19-Feb-19,,,,,
65 Melbourne Road,Drumcondra,3,0,0,724,0,"$600,000 ",3-Feb-20,,,,,
39 The Esplanade ,Drumcondra,6,2,4,1007,0,"$2,275,000 ",19-Jul-19,,,,,
10 Wattletree Road,Drumcondra,4,1,2,625,0,"$840,000 ",16-Apr-19,,,,,
28 Wattletree Road,Drumcondra,3,1,2,949,0,"$1,520,000 ",19-Feb-20,,,,,
