address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
38 Myrtle Grove,North Shore,4,1,2,616,0,"$500,000 ",30-Jan-20,,,,,
9 Phosphate Road,North Shore,2,1,1,740,0,"$500,000 ",2-Aug-19,,,,,
16 Pine Avenue,North Shore,3,1,1,920,0,"$550,000 ",27-Apr-19,,,,,
27 Pine Avenue,North Shore,3,2,5,1007,0,"$850,000 ",20-Feb-19,,,,,
17 Sea Breeze Parade,North Shore,2,1,1,685,0,"$392,173 ",24-May-19,,,,,
11 Seabeach Parade,North Shore,2,1,1,696,0,"$480,000 ",30-Oct-19,,,,,
12-14 Seabeach Parade,North Shore,3,1,3,491,0,"$555,000 ",20-Dec-19,,,,,
14 Seaforth Street,North Shore,3,1,8,687,0,"$355,000 ",30-Mar-20,,,,,
35 The Esplanade ,North Shore,3,2,2,997,0,"$955,000 ",29-Mar-20,,,,,
