,address,sold,last sold,rent,house_info,land_size
237,2/16 Birkett Place,"Sold $361,900 in Oct 2012", , ,House: 2  1  1 ,Land size: 857 sqm
238,11 Balliang Street,"Sold $648,500 in 01 Sep 2012(Auction)", , ,House: 3  2  2 ,Land size: 460 sqm | Building size: 206 sqm
239,1/7 Carr Street,"Sold $465,000 in Aug 2012", , ,Townhouse: 2  2  1 , 
240,203 Yarra Street,"Sold $475,000 in Aug 2012", , ,House: 3  1  2 ,Land size: 210 sqm
241,3 Birkett Place,"Sold $225,500 in Aug 2012","Last Sold $176,000 in Dec 2007", , ,Land size: 875 sqm | Building size: 172 sqm
242,1/14 Birkett Place,"Sold $352,000 in Aug 2012", , ,House: ,Land size: 857 sqm
243,4/123 Fyans Street,"Sold $265,000 in Jul 2012","Last Sold $66,000 in Feb 1987",Rent $340pw in Oct 2018, ,Land size: 255 sqm
244,44 Gravel Pits Road,"Sold $100,000 in Jul 2012", , , ,"Land size: 15,650 sqm"
245,3/66 Foster Street,"Sold $350,000 in Jul 2012", ,Rent $370pw in Apr 2019,Townhouse: 2  1  1 ,Land size: 205 sqm
246,1/403 Moorabool Street,"Sold $1,254,000 in Jul 2012", , , ,"Land size: 1,431 sqm"
247,78 Gravel Pits Road,"Sold $670,000 in Jul 2012", , , , 
248,52 Balliang Street,"Sold $380,000 in 03 Jun 2012(Auction)", ,Rent $270pw in Mar 2014,House: 2  1  2 ,Land size: 563 sqm | Building size: 93 sqm
249,255 Yarra Street,"Sold $456,000 in May 2012", ,Rent $270pw in Mar 2005,House: 3  1  1 ,Land size: 433 sqm
250,9 Hopkins,"Sold $375,000 in Apr 2012", , ,Townhouse: 2  2  2 ,Land size: 174 sqm
251,5/9 Hopkins Street,"Sold $375,000 in Apr 2012", , , ,Land size: 173 sqm | Building size: 132 sqm
252,8 Gravel Pits Road,"Sold $1,045,000 in Apr 2012", , , ,"Land size: 13,291 sqm"
253,20 Foster Street,"Sold $310,000 in 17 Mar 2012(Auction)", ,Rent $360pw in Jan 2019,House: 3  1  1 ,Land size: 124 sqm
254,8 Park Crescent,"Sold $535,000 in Mar 2012", , ,House: 4  2  5 ,Land size: 497 sqm
255,260 Yarra Street,"Sold $850,000 in Mar 2012", , ,House: 3  1  ,Land size: 255 sqm
256,4 Crown Street,"Sold $2,000,000 in Mar 2012","Last Sold $1,450,000 in Nov 2001", , ,"Land size: 5,536 sqm"
257,16 Crown Street,"Sold $850,000 in Mar 2012", , , ,"Land size: 1,058 sqm | Building size: 799 sqm"
258,23 Mundy Street,"Sold $390,000 in Feb 2012", ,Rent $300pw in May 2009,House: 2  2  3 ,Land size: 274 sqm
259,41 Balliang Street,"Sold $342,000 in 25 Feb 2012(Auction)", ,Rent $270pw in Oct 2011,House: 2  1  2 ,Land size: 278 sqm | Building size: 93 sqm
260,5/13-15 Crown Street,"Sold $320,000 in Feb 2012","Last Sold $290,000 in Oct 2007", , ,Land size: 323 sqm
261,266 Bellerine Street,"Sold $367,000 in Dec 2011", ,Rent $210pw in Jan 2011,House: 2  1  1 ,Land size: 486 sqm
262,76 Barwon Terrace,"Sold $935,000 in Dec 2011", , , ,"Land size: 3,140 sqm"
263,158 Fyans Street,"Sold $462,000 in Dec 2011", , , ,"Land size: 7,456 sqm"
264,2/72 Balliang Street,"Sold $415,000 in Nov 2011", , ,House: 3  3  2 ,Land size: 271 sqm
265,22 Balliang Street,"Sold $472,500 in Nov 2011", ,Rent $405pw in Sep 2011,House: 3  2  2 ,Land size: 224 sqm | Building size: 136 sqm
266,6/13-15 Crown Street,"Sold $380,000 in Nov 2011","Last Sold $310,000 in Oct 2007", , ,Land size: 324 sqm
267,1 Fyans Street,"Sold $1,320,000 in Nov 2011","Last Sold $750,000 in Feb 2004", , ,Land size: 1 sqm
268,6/13 Crown Street,"Sold $380,000 in Nov 2011", , , ,Land size: 324 sqm
269,9 Lonsdale Street,"Sold $320,000 in Oct 2011", ,Rent $340pw in Nov 2019,House: 2  1  1 ,Land size: 345 sqm
270,32 Foster Street,"Sold $410,000 in Oct 2011", ,Rent $350pw in Aug 2011,House: 2  1  1 ,Land size: 305 sqm
271,4/33 Lonsdale Street,"Sold $405,000 in Oct 2011", ,Rent $400pw in Jun 2012,Townhouse: 3  2  1 , 
272,1/48A Balliang Street,"Sold $415,000 in Sep 2011", , , ,Land size: 281 sqm
273,40 Foster Street,"Sold $389,300 in Sep 2011", ,Rent $320pw in Oct 2010,House: 3  1  1 ,Land size: 509 sqm | Building size: 133 sqm
274,3/49 Foster Street,"Sold $389,300 in Sep 2011", , ,House: 3  , 
275,141 Fyans Street,"Sold $820,000 in Sep 2011","Last Sold $750,000 in Dec 2009", , ,"Land size: 1,500 sqm"
276,48 Balliang Street,"Sold $415,000 in Sep 2011", , , , 
277,108 Balliang Street,"Sold $324,500 in Sep 2011", , , ,"Land size: 1,046 sqm"
278,203 Swanston Street,"Sold $289,000 in Sep 2011","Last Sold $57,000 in Jul 1992",Rent $220pw in Apr 2007,House: 2  1  ,Land size: 346 sqm | Building size: 77 sqm
279,153 Swanston,"Sold $435,000 in Aug 2011","Last Sold $411,000 in Nov 2009", ,House: 3  1  1 , 
280,56 Balliang Street,"Sold $367,000 in Jul 2011", ,Rent $360pw in Jun 2019,House: 2  1  1 ,Land size: 186 sqm | Building size: 81 sqm
281,291 Bellerine Street,"Sold $376,000 in 09 Jul 2011(Auction)", , ,House: 3  1  1 ,Land size: 490 sqm
282,2/117 Fyans Street,"Sold $285,000 in Jul 2011","Last Sold $116,500 in Mar 1999",Rent $210pw in Mar 2007, ,Land size: 800 sqm
283,123 Balliang Street,"Sold $278,960 in Jul 2011", , , ,"Land size: 15,161 sqm"
284,110 Balliang Street,"Sold $290,000 in Jul 2011", , , ,"Land size: 15,161 sqm"
285,102 Balliang Street,"Sold $387,200 in Jul 2011", , ,House: ,"Land size: 15,161 sqm"
286,125 Balliang Street,"Sold $297,352 in Jul 2011", , , ,"Land size: 15,161 sqm"
287,1/85 Fyans Street,"Sold $279,000 in May 2011","Last Sold $180,000 in Jul 2007",Rent $265pw in May 2016, ,Land size: 343 sqm | Building size: 89 sqm
288,16 Verner Street,"Sold $377,500 in May 2011", , ,House: 4  1  2 ,Land size: 486 sqm
289,5 Foster Street,"Sold $650,000 in Apr 2011", , ,House: 3  2  4 ,Land size: 486 sqm
290,6 Wood Street,"Sold $370,000 in Apr 2011", , , ,Land size: 305 sqm
291,30 Verner Street,"Sold $365,000 in Mar 2011","Last Sold $202,000 in Jul 2001",Rent $300pw in Feb 2011,Townhouse: 2  1  1 ,Land size: 200 sqm | Building size: 88 sqm
292,10 Hopkins Street,"Sold $495,000 in Mar 2011","Last Sold $380,000 in Dec 2009",Rent $270pw in Feb 2009,House: 1  1  2 ,Land size: 271 sqm
293,1 24 Balliang Street,"Sold $369,900 in Feb 2011", , ,Townhouse: 3  1  1 ,Land size: 195 sqm
294,301 Bellerine Street,"Sold $162,500 in Feb 2011", , ,House: 3  ,Land size: 564 sqm
295,250 BELLERINE Street,"Sold $483,500 in Jan 2011","Last Sold $106,000 in Nov 1995",Rent $450pw in Jun 2018,House: 3  2  2 ,Land size: 473 sqm
296,256 Yarra Street,"Sold $540,000 in Jan 2011", , ,House: 4  2  2 ,Land size: 479 sqm | Building size: 144 sqm
297,24 Balliang Street,"Sold $360,000 in Jan 2011", , , ,Land size: 195 sqm
298,2/168-170 Fyans Street,"Sold $594,000 in Dec 2010", , , ,"Land size: 4,095 sqm"
299,2/7 Carr Street,"Sold $298,000 in Dec 2010", ,Rent $330pw in Dec 2016, ,Land size: 315 sqm
