,address,sold,last sold,rent,house_info,land_size
42,11 Leghorn Way,"Sold $458,000 in Jun 2019","Last Sold $165,000 in Jul 2012",Rent $380pw in Sep 2018,House: 3  2  1 ,Land size: 435 sqm | Building size: 137 sqm
43,7 Adair Court,"Sold $475,000 in May 2019","Last Sold $150,000 in Mar 2015", ,House: 3  2  2 ,Land size: 350 sqm | Building size: 136 sqm
44,9/9 Moretti Court,"Sold $370,000 in Mar 2019", ,Rent $320pw in Apr 2020, ,Land size: 147 sqm
45,157-159 Reserve Road,"Sold $730,000 in Feb 2019", ,Rent $380pw in Feb 2020,House: 3  1  ,"Land size: 2,026 sqm"
46,34 Werner Avenue,"Sold $510,000 in Feb 2019","Last Sold $140,000 in Nov 2008", ,House: 3  2  2 ,Land size: 484 sqm | Building size: 159 sqm
47,5/73 Marshalltown Road,"Sold $357,000 in Feb 2019","Last Sold $84,500 in Mar 1989", , ,Land size: 164 sqm
48,38 Drews Road,"Sold $495,000 in Nov 2018", , ,House: 4  2  2 ,Land size: 370 sqm
49,17 Basford Court,"Sold $865,000 in Nov 2018","Last Sold $185,000 in Jul 2012", ,House: 5  2  10 ,"Land size: 2,997 sqm | Building size: 133 sqm"
50,27 Drews Road,"Sold $555,000 in Nov 2018","Last Sold $430,000 in Oct 2010",Rent $390pw in May 2009,House: 4  2  2 ,Land size: 683 sqm | Building size: 234 sqm
51,8 Leghorn Way,"Sold $455,000 in Nov 2018","Last Sold $138,000 in Nov 2012", ,House: 3  2  1 ,Land size: 320 sqm
52,3-4 Emilija Court,"Sold $520,000 in Nov 2018","Last Sold $400,000 in Oct 2014", ,House: 3  3  2 ,Land size: 503 sqm
53,51 Marshalltown Road,"Sold $500,000 in Oct 2018", , ,House: 3  1  2 ,Land size: 661 sqm
54,21 Basford Court,"Sold $466,000 in Oct 2018","Last Sold $140,000 in Oct 2013",Rent $400pw in Oct 2018,House: 3  2  2 ,Land size: 377 sqm | Building size: 118 sqm
55,29 Grove Road,"Sold $449,500 in Sep 2018","Last Sold $294,000 in Aug 2009",Rent $370pw in Jul 2014,House: 3  1  6 ,Land size: 475 sqm | Building size: 104 sqm
56,12 Adair Court,"Sold $470,000 in Sep 2018","Last Sold $141,000 in Feb 2000",Rent $370pw in Nov 2018,House: 3  1  2 ,Land size: 416 sqm | Building size: 120 sqm
57,9 Speranza Court,"Sold $445,000 in Sep 2018","Last Sold $136,000 in Feb 2000",Rent $360pw in Sep 2015,House: 3  2  2 ,Land size: 350 sqm
