,address,sold,last sold,rent,house_info,land_size
172,2/24 Seabeach Parade,"Sold $235,000 in Jan 2008", ,Rent $290pw in Dec 2015, ,Land size: 232 sqm
173,24 Myrtle Grove,"Sold $240,000 in Dec 2007","Last Sold $73,500 in Mar 1994", , ,"Land size: 1,007 sqm"
174,1/32 Seaforth Street,"Sold $155,000 in Nov 2007", , ,Townhouse: 3  1  1 ,Land size: 225 sqm
175,19 Myrtle Grove,"Sold $190,000 in Nov 2007", , ,House: 2  1  ,Land size: 721 sqm
176,2/32 Seaforth Street,"Sold $135,000 in Nov 2007", , , ,Land size: 236 sqm
177,4/32 Seaforth Street,"Sold $158,000 in Nov 2007", ,Rent $250pw in Feb 2017, ,Land size: 224 sqm
178,10 Seabright Street,"Sold $300,000 in Nov 2007", , ,House: ,"Land size: 1,403 sqm | Building size: 270 sqm"
179,23 Pine Avenue,"Sold $245,000 in Nov 2007","Last Sold $130,000 in Dec 2001", ,House: 3  1  1 ,"Land size: 1,007 sqm | Building size: 96 sqm"
180,22 Seaside Parade,"Sold $200,000 in Oct 2007", , ,House: ,Land size: 687 sqm
181,57/1B Seaforth Street,"Sold $380,000 in Aug 2007", , , ,Land size: 696 sqm
182,24 Foch Street,"Sold $117,500 in Aug 2007", , , ,Land size: 648 sqm
183,21 Seaside Parade,"Sold $380,000 in Aug 2007","Last Sold $85,000 in Dec 2002", , ,Land size: 626 sqm | Building size: 317 sqm
184,36 Myrtle Grove,"Sold $220,000 in Jul 2007", , , ,Land size: 234 sqm
185,25 Madden Avenue,"Sold $110,000 in Jun 2007", , ,House: ,Land size: 651 sqm
186,18 Foch Street,"Sold $456,500 in May 2007","Last Sold $60,000 in Jul 2004", ,House: 4 ,Land size: 655 sqm | Building size: 452 sqm
187,1 Sea Breeze Parade,"Sold $185,000 in May 2007","Last Sold $132,500 in Mar 2004", , ,Land size: 692 sqm
188,3/25-27 Myrtle Grove,"Sold $242,000 in Apr 2007", , , ,Land size: 313 sqm
189,2/25-27 Myrtle Grove,"Sold $223,000 in Apr 2007", , ,Townhouse: 2  ,Land size: 220 sqm
190,2/25 Myrtle Grove,"Sold $223,000 in Apr 2007", , ,Townhouse: 2  2  2 ,Land size: 220 sqm
191,3/25 Myrtle Grove,"Sold $242,000 in Apr 2007", , , ,Land size: 313 sqm
192,1/25-27 Myrtle Grove,"Sold $250,000 in Feb 2007", , ,Townhouse: 3  ,Land size: 338 sqm
193,35 Seabeach Parade,"Sold $210,000 in Nov 2006","Last Sold $155,000 in Jan 2002", ,House: 4  1  1 ,Land size: 699 sqm
194,33 Myrtle Grove,"Sold $255,000 in Oct 2006", , ,House: 3  1  6 ,"Land size: 1,012 sqm | Building size: 117 sqm"
195,22 Seabeach Parade,"Sold $203,000 in Sep 2006", , ,House: 1  1  ,"Land size: 1,009 sqm"
196,24 Seabeach Parade,"Sold $169,000 in Aug 2006", , ,House: ,Land size: 293 sqm
197,10 Seaside Parade,"Sold $256,000 in Jun 2006","Last Sold $180,000 in Dec 2003", , ,Land size: 680 sqm
198,16 Myrtle Grove,"Sold $218,000 in Jun 2006","Last Sold $155,000 in Jul 2002", , ,Land size: 761 sqm | Building size: 103 sqm
199,58/15 Pine Avenue,"Sold $267,000 in May 2006", , , ,"Land size: 1,016 sqm"
