,address,sold,last sold,rent,house_info,land_size
61,170 Yarra Street,"Sold $850,000 in Jul 2019","Last Sold $730,000 in Apr 2016", ,House: 4  3  3 ,Land size: 658 sqm
62,2/44 Myers Street,"Sold $500,000 in Jul 2019", ,Rent $350pw in May 2017, ,Land size: 48 sqm
63,4 Star Street,"Sold $700,000 in Jul 2019","Last Sold $455,000 in Dec 2015(Auction)", , ,Land size: 147 sqm | Building size: 90 sqm
64,304/100 Western Beach Road,"Sold $630,000 in Jul 2019","Last Sold $575,000 in Feb 2000",Rent $470pw in Oct 2018, ,Land size: 992 sqm
65,6 Heaths Lane,"Sold $525,000 in Jul 2019","Last Sold $275,000 in Mar 2009", ,Townhouse: 1  1  ,Land size: 65 sqm
66,168 Yarra Street,"Sold $905,000 in Jul 2019","Last Sold $486,000 in Jul 2005",Rent $540pw in Dec 2016,House: 5  2  2 ,Land size: 665 sqm
67,14 Mckillop Street,"Sold $700,000 in 01 Jul 2019(Auction)","Last Sold $300,000 in May 2008", ,House: 3  1  4 ,Land size: 593 sqm
68,38 Bourke Crescent,"Sold $485,000 in 29 Jun 2019(Auction)","Last Sold $260,000 in Nov 2007",Rent $290pw in Aug 2017,House: 3  1  1 ,Land size: 192 sqm
69,46 Bourke Crescent,"Sold $722,500 in 22 Jun 2019(Auction)","Last Sold $288,000 in Sep 2003", ,House: 3  2  ,Land size: 27 sqm
70,205/16-18 The Esplanade South,"Sold $460,000 in Jun 2019", , , , 
71,8/155 Verner Street,"Sold $291,000 in Jun 2019","Last Sold $132,000 in Nov 2006",Rent $250pw in Feb 2017, ,Land size: 946 sqm
72,13 England Street,"Sold $1,100,000 in Jun 2019","Last Sold $635,000 in Mar 2006", ,House: 3  2  1 ,Land size: 120 sqm
73,19 The Esplanade South,"Sold $720,000 in May 2019", ,Rent $650pw in Jan 2020,House: 2  1  1 , 
74,205/110 Brougham Street,"Sold $1,130,000 in May 2019","Last Sold $830,000 in Apr 2007",Rent $850pw in Nov 2008,Townhouse: 3  2  2 ,"Land size: 1,233 sqm"
75,404/100 Western Beach Road,"Sold $520,000 in May 2019","Last Sold $461,000 in Oct 2012",Rent $500pw in Jan 2020, ,Land size: 992 sqm
