,address,sold,last sold,rent,house_info,land_size
274,54 Oxford Street,"Sold $277,500 in May 2016", , ,House: 3  1  1 ,Land size: 638 sqm | Building size: 116 sqm
275,5/18 Regent Street,"Sold $151,500 in May 2016","Last Sold $80,000 in Dec 2005", , ,Land size: 64 sqm
276,9 Sputnik Court,"Sold $230,000 in May 2016","Last Sold $220,000 in Dec 2009", ,House: 3  1  1 ,Land size: 590 sqm | Building size: 103 sqm
277,2/37 Thompson Street,"Sold $100,000 in May 2016", ,Rent $200pw in Apr 2008, ,Land size: 316 sqm
278,1/37 Thompson Street,"Sold $100,000 in May 2016", ,Rent $140pw in Apr 2007, ,Land size: 229 sqm
279,7/18 Regent Street,"Sold $149,500 in May 2016", ,Rent $185pw in Jul 2013, ,Land size: 45 sqm
280,9/18 Regent Street,"Sold $151,500 in Apr 2016", ,Rent $180pw in Aug 2011, ,Land size: 44 sqm
281,3/18 Regent Street,"Sold $146,250 in Apr 2016", ,Rent $190pw in Jan 2016, ,Land size: 44 sqm
282,6/18 Regent Street,"Sold $149,500 in Apr 2016","Last Sold $80,000 in Dec 2005", , ,Land size: 56 sqm
283,4/18 Regent Street,"Sold $144,250 in Apr 2016", ,Rent $115pw in Jun 2007, ,Land size: 43 sqm
284,4 Atlas Court,"Sold $250,000 in Apr 2016","Last Sold $236,000 in Jun 2010", ,House: 3  1  2 ,Land size: 558 sqm | Building size: 106 sqm
285,37 Truscott Street,"Sold $295,001 in Apr 2016", ,Rent $300pw in Oct 2018,House: 3  1  2 ,Land size: 690 sqm | Building size: 108 sqm
286,3 Redstone Court,"Sold $245,000 in Apr 2016","Last Sold $242,000 in Sep 2010", ,House: 3  1  4 ,Land size: 563 sqm
287,2/4 Koala Court,"Sold $261,500 in Apr 2016","Last Sold $209,000 in Mar 2009", , ,Land size: 181 sqm | Building size: 103 sqm
288,5 Telstar Court,"Sold $215,000 in Apr 2016","Last Sold $202,000 in Jun 2010", ,House: 3  1  2 ,Land size: 557 sqm
289,2 Conrad Court,"Sold $260,000 in Apr 2016","Last Sold $195,000 in Mar 2015(Auction)", ,House: 3  1  4 ,Land size: 623 sqm | Building size: 120 sqm
290,155 Wilsons Road,"Sold $278,000 in 29 Mar 2016(Auction)","Last Sold $270,000 in Jun 2011", ,House: 3  1  2 ,Land size: 598 sqm | Building size: 118 sqm
291,11 Gemini Court,"Sold $252,500 in Mar 2016","Last Sold $118,000 in Jan 2002", ,House: 3  1  2 ,Land size: 564 sqm
292,3 Raaf Street,"Sold $310,000 in Feb 2016", , ,House: 3  2  1 ,Land size: 262 sqm
293,2/18 Katarina Place,"Sold $213,000 in Feb 2016", ,Rent $250pw in Mar 2016,Townhouse: 2  1  1 ,Land size: 207 sqm
294,162 Coppards Road,"Sold $345,000 in Feb 2016","Last Sold $94,500 in Feb 1996", ,House: 3  1  3 ,"Land size: 1,248 sqm"
295,20 Titan Street,"Sold $219,000 in Feb 2016","Last Sold $64,000 in Jun 1989", ,House: 3  1  2 ,Land size: 575 sqm
296,18 Gemini Court,"Sold $272,000 in Jan 2016","Last Sold $235,000 in Apr 2012", ,House: 3  1  2 ,Land size: 626 sqm
297,20/5 OXFORD Street,"Sold $329,500 in Jan 2016", , , ,"Land size: 2,112 sqm"
298,4 Universe Court,"Sold $246,000 in Jan 2016","Last Sold $216,000 in May 2010", ,House: 3  1  2 ,Land size: 865 sqm | Building size: 102 sqm
299,18/5 OXFORD Street,"Sold $329,500 in Jan 2016", , , ,"Land size: 2,112 sqm"
