,address,sold,last sold,rent,house_info,land_size
243,1/24 Cosgrove Street,"Sold $277,500 in Nov 2011","Last Sold $229,000 in Feb 2006", ,Townhouse: 2  1  2 ,Land size: 302 sqm
244,24 Tucker Street,"Sold $250,000 in Oct 2011", ,Rent $275pw in Nov 2011,House: 3  1  1 ,Land size: 580 sqm
245,1/2 Fowler Street,"Sold $295,000 in Sep 2011", , , ,Land size: 238 sqm | Building size: 101 sqm
246,22 Industrial Place,"Sold $395,000 in Aug 2011", , , ,"Land size: 2,035 sqm"
247,28 Industrial Place,"Sold $800,000 in Aug 2011", , , ,"Land size: 5,005 sqm"
248,2/2 Fowler Street,"Sold $317,500 in Aug 2011", , , ,Land size: 240 sqm
249,2/22 Apparel Close,"Sold $270,000 in Jul 2011", , , ,"Land size: 2,776 sqm | Building size: 35 sqm"
250,3/22 Apparel Close,"Sold $308,186 in Jul 2011", , , ,"Land size: 2,776 sqm"
251,2/1 Reeves Court,"Sold $295,000 in Jun 2011","Last Sold $126,750 in Feb 1990", , ,Land size: 691 sqm
252,1/1 Reeves Court,"Sold $295,000 in Jun 2011","Last Sold $126,700 in Jul 1989", , ,"Land size: 1,972 sqm"
253,20 Fidge Crescent,"Sold $233,000 in May 2011", ,Rent $210pw in Nov 2008,House: 3  1  1 ,Land size: 557 sqm | Building size: 121 sqm
254,2/1 Holman Court,"Sold $180,000 in Apr 2011","Last Sold $129,000 in Nov 2006", , ,"Land size: 1,551 sqm"
255,14 Cosgrove Street,"Sold $289,000 in Apr 2011", ,Rent $330pw in Mar 2020,House: 3  1  2 ,Land size: 848 sqm | Building size: 112 sqm
256,3/51 Tucker Street,"Sold $285,500 in Apr 2011", , ,House: ,Land size: 214 sqm
257,2/55 Tanner Street,"Sold $268,000 in Mar 2011","Last Sold $252,500 in Sep 2009", , ,Land size: 222 sqm
258,12 Hitchcock Street,"Sold $260,000 in Mar 2011", ,Rent $340pw in Jan 2019,House: 3  2  1 ,Land size: 539 sqm | Building size: 105 sqm
259,20 Hitchcock Street,"Sold $246,000 in Mar 2011", , , ,Land size: 557 sqm
260,1/21 Leather Street,"Sold $755,900 in Mar 2011","Last Sold $550,000 in Nov 2003", , ,"Land size: 2,556 sqm"
261,46 Fidge Crescent,"Sold $245,000 in 29 Jan 2011(Auction)", , ,House: 4  2  1 ,Land size: 557 sqm
262,14 Fidge Crescent,"Sold $255,000 in Jan 2011","Last Sold $185,000 in Jan 2007", ,House: 3  1  1 ,Land size: 553 sqm | Building size: 106 sqm
263,6 Tanner Court,"Sold $259,900 in Dec 2010", , ,House: 4  2  1 ,Land size: 660 sqm
264,95-97 Tanner Street,"Sold $650,000 in Dec 2010","Last Sold $188,500 in Nov 2000", , ,"Land size: 46,330 sqm"
265,70 Leather Street,"Sold $250,000 in Dec 2010","Last Sold $60,000 in Jan 1994", , ,"Land size: 2,788 sqm"
266,66 Leather Street,"Sold $2,400,000 in Dec 2010", , , ,"Land size: 7,366 sqm"
267,95 Tanner Street,"Sold $650,000 in Dec 2010", , , ,"Land size: 46,330 sqm"
268,212 St Albans Road,"Sold $267,000 in Nov 2010", , ,House: 3  1  1 ,Land size: 531 sqm | Building size: 116 sqm
269,5 McAllister Street,"Sold $229,000 in Nov 2010","Last Sold $58,000 in Nov 1996", ,House: 3  1  1 ,Land size: 581 sqm
270,1/61 Tucker Street,"Sold $170,000 in Nov 2010","Last Sold $54,500 in Oct 1992", , ,Land size: 771 sqm
271,53 Tucker Street,"Sold $223,000 in Nov 2010","Last Sold $196,000 in Oct 2009", ,House: 2  1  2 ,Land size: 450 sqm
272,36 Hitchcock Street,"Sold $215,000 in Oct 2010","Last Sold $90,000 in Jul 2000", ,House: 3  1  1 ,Land size: 618 sqm | Building size: 110 sqm
273,8 Hitchcock Street,"Sold $249,000 in 13 Oct 2010(Auction)", ,Rent $275pw in Jan 2017,House: 3  1  3 ,Land size: 538 sqm | Building size: 105 sqm
274,8 Fellmongers Road,"Sold $260,000 in Oct 2010", , ,House: 2  ,Land size: 648 sqm
275,3 Dyson Court,"Sold $700,000 in Sep 2010","Last Sold $600,000 in Oct 2005", ,House: ,"Land size: 13,711 sqm"
276,7/1 Holman Court,"Sold $179,000 in Aug 2010","Last Sold $143,000 in Mar 2008", , ,Land size: 47 sqm
277,9 Mcallister Street,"Sold $260,000 in Aug 2010","Last Sold $180,000 in Apr 2004", ,House: 3  1  2 ,Land size: 672 sqm
278,31 Tucker Street,"Sold $280,000 in Aug 2010", ,Rent $340pw in Jan 2020,House: 3  1  1 ,Land size: 706 sqm
279,32 Hitchcock Street,"Sold $235,500 in 01 Aug 2010(Auction)","Last Sold $168,500 in Jan 2004", ,House: 3  1  2 ,Land size: 644 sqm | Building size: 101 sqm
280,6 Fellmongers Road,"Sold $280,000 in Jul 2010", , ,House: 3  2  1 ,Land size: 643 sqm
281,10 Fellmongers Road,"Sold $280,000 in Jul 2010","Last Sold $200,000 in Dec 2006", ,House: 3  1  4 ,Land size: 665 sqm
282,14 Fellmongers Road,"Sold $270,000 in Jul 2010","Last Sold $180,000 in Feb 2006", ,House: 3  1  ,Land size: 583 sqm
283,12 Fellmongers Road,"Sold $295,000 in Jul 2010","Last Sold $64,500 in Mar 1988", ,House: 1  ,Land size: 586 sqm
284,16 Fellmongers Road,"Sold $270,000 in Jul 2010", , ,House: 1  1  2 ,Land size: 573 sqm
285,3 Lawless Court,"Sold $310,000 in Jul 2010", , , ,Land size: 833 sqm
286,4 Hitchcock Street,"Sold $222,000 in Jul 2010","Last Sold $190,000 in Jul 2008", ,House: 3  1  1 ,Land size: 557 sqm | Building size: 104 sqm
287,58 Hitchcock Street,"Sold $253,000 in 01 Jul 2010(Auction)","Last Sold $190,000 in Nov 2005", ,House: 3  2  1 ,Land size: 590 sqm
288,83 Tucker Street,"Sold $660,000 in May 2010", , , ,"Land size: 1,781 sqm | Building size: 228 sqm"
289,6 Apparel Close,"Sold $1,100,000 in May 2010", , , ,"Land size: 6,925 sqm"
290,28 Fellmongers Road,"Sold $1,200,000 in Apr 2010","Last Sold $117,000 in Nov 2001", , ,Land size: 658 sqm
291,47 Leather Street,"Sold $1,430,000 in Apr 2010","Last Sold $250,000 in Jan 1997", , ,"Land size: 2,611 sqm"
292,41 Leather Street,"Sold $5,500,000 in Apr 2010", , , ,"Land size: 48,951 sqm"
293,28 Apparel Close,"Sold $1,200,000 in Apr 2010", , ,House: ,"Land size: 8,048 sqm"
294,6 Hodges Court,"Sold $230,000 in Mar 2010", ,Rent $290pw in Mar 2012,House: 3  1  2 ,Land size: 674 sqm | Building size: 116 sqm
295,90 Breakwater Road,"Sold $321,000 in Mar 2010","Last Sold $70,000 in Oct 1995", ,House: 3  1  1 ,"Land size: 1,093 sqm"
296,16 Leather Street,"Sold $1,900,000 in Mar 2010", ,"Rent $145,000pw in Mar 2012", ,"Land size: 3,553 sqm | Building size: 2344 sqm"
297,16 Apparel Close,"Sold $3,850,000 in Mar 2010", , , ,"Land size: 19,641 sqm"
298,8 Keith Court,"Sold $190,000 in Feb 2010","Last Sold $173,000 in Apr 2005", ,House: 2  1  ,Land size: 409 sqm
299,38 Hitchcock Street,"Sold $220,000 in Jan 2010","Last Sold $207,000 in Aug 2007", ,House: 3  1  1 ,Land size: 662 sqm | Building size: 102 sqm
