,address,sold,last sold,rent,house_info,land_size
221,6/271 Roslyn Road,"Sold $340,000 in Sep 2019", , , ,Land size: 158 sqm
222,41-43 Highland Way,"Sold $940,000 in Sep 2019", , ,House: 4  2  4 ,"Land size: 1,008 sqm"
223,9 Oakbank Avenue,"Sold $780,000 in Sep 2019","Last Sold $755,000 in Jun 2018",Rent $470pw in Sep 2011,House: 4  3  2 ,Land size: 726 sqm | Building size: 212 sqm
224,2 Bundoora Crescent,"Sold $596,000 in 21 Sep 2019(Auction)", ,Rent $450pw in Jan 2020,House: 4  2  2 , 
225,2/19 Granby Crescent,"Sold $615,000 in Sep 2019", , , ,Land size: 448 sqm
226,11 Jewell Place,"Sold $910,000 in 21 Sep 2019(Auction)","Last Sold $200,000 in Sep 2008", ,House: 4  2  2 ,Land size: 406 sqm | Building size: 264 sqm
227,11 Oakhill Avenue,"Sold $1,240,000 in Sep 2019","Last Sold $230,000 in Feb 2000", ,House: 4  4  2 ,"Land size: 1,001 sqm | Building size: 323 sqm"
228,2 Maidie Street,"Sold $868,000 in 17 Sep 2019(Auction)","Last Sold $520,000 in Apr 2014", ,House: 4  2  1 ,"Land size: 1,060 sqm"
229,1 Adelaide Street,"Sold $526,000 in 14 Sep 2019(Auction)", , ,House: 3  1  4 ,Land size: 711 sqm
230,23 Evwick Crescent,"Sold $500,000 in Sep 2019","Last Sold $78,000 in Oct 1987", ,House: 3  1  2 ,Land size: 622 sqm
231,15 Thoroughbred Drive,"Sold $695,000 in Sep 2019","Last Sold $174,000 in Jul 2004",Rent $620pw in Oct 2018,House: 5  2  2 ,Land size: 715 sqm | Building size: 4839 sqm
232,5/28 Barrabool Road,"Sold $365,000 in Sep 2019","Last Sold $255,000 in Jan 2013", , ,Land size: 159 sqm
233,14 Woolbrae Place,"Sold $385,000 in Sep 2019", , , , 
234,7/228 Roslyn Road,"Sold $377,000 in Sep 2019","Last Sold $275,500 in Apr 2018",Rent $240pw in Mar 2015, ,Land size: 145 sqm | Building size: 80 sqm
235,179A Barrabool Road,"Sold $600,000 in Sep 2019", , , ,Land size: 312 sqm
236,6 Cobden Street,"Sold $485,000 in Sep 2019", ,Rent $290pw in Aug 2018,House: 3  1  1 ,Land size: 658 sqm
237,31 Hewat Drive,"Sold $955,000 in Aug 2019","Last Sold $134,000 in Jul 2008", ,House: 8  8  2 ,Land size: 755 sqm
238,2/22 Molesworth Drive,"Sold $480,000 in Aug 2019","Last Sold $285,000 in Apr 2005", , ,Land size: 238 sqm
239,7 Mawarra Court,"Sold $1,300,000 in Aug 2019","Last Sold $112,500 in Feb 2000", ,House: 4  2  2 ,Land size: 993 sqm | Building size: 276 sqm
240,1/11 Cedarville Close,"Sold $450,000 in Aug 2019","Last Sold $271,000 in Mar 2006", , ,Land size: 241 sqm
241,25 Shire Court,"Sold $805,000 in Aug 2019","Last Sold $606,000 in Apr 2009", ,House: 3  2  2 ,Land size: 587 sqm | Building size: 223 sqm
242,20/27-29 Montague Street,"Sold $400,000 in Aug 2019","Last Sold $340,000 in Mar 2018",Rent $340pw in Apr 2019, ,Land size: 71 sqm
243,84 Mulquiney Crescent,"Sold $529,000 in Aug 2019", , , ,Land size: 354 sqm
244,35 Reigate Road,"Sold $652,000 in 21 Aug 2019(Auction)","Last Sold $320,000 in Feb 2000",Rent $560pw in Dec 2018,House: 5  2  2 ,Land size: 725 sqm
245,46 Stoneleigh Crescent,"Sold $1,130,000 in Aug 2019","Last Sold $275,000 in Jun 2010", ,House: 4  2  2 ,Land size: 756 sqm
246,8 Northam Avenue,"Sold $538,000 in Aug 2019","Last Sold $54,000 in Jan 1981", ,House: 4  1  2 ,Land size: 650 sqm
247,1/13 Finningley Court,"Sold $545,000 in Aug 2019","Last Sold $171,500 in May 1998", , ,Land size: 358 sqm
248,3 Wynfield Drive,"Sold $782,000 in Aug 2019","Last Sold $739,000 in Jun 2017", ,House: 4  2  2 ,Land size: 722 sqm
