Suburb,Suburb_Code,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,School,Shop,Restaurant,Station,Park,Hospital,Rent Amount PW,Auction,Last Sell Date,Last Sell Price,Sell Date,Sell Price
Armstrong Creek,1,456.0,157.80025348542458,4.0,2.0,2.0,3,8,7,10,4,0,800.847867054994,0.0,2015-11-01,169000.0,2020-11-01,580000
Armstrong Creek,1,476.0,157.80025348542458,4.0,2.0,2.0,4,16,7,15,3,0,410.0,0.0,2015-12-01,162000.0,2020-11-01,582500
Armstrong Creek,1,505.0,227.0,4.0,2.0,2.0,5,17,7,14,4,0,800.847867054994,0.0,2018-07-01,625000.0,2020-10-01,630000
Armstrong Creek,1,465.0,164.0,4.0,2.0,2.0,5,18,6,16,4,0,390.0,0.0,2013-04-01,149000.0,2020-10-01,560000
Armstrong Creek,1,400.0,129.0,3.0,2.0,2.0,3,17,6,12,3,0,800.847867054994,0.0,2017-09-01,420000.0,2020-10-01,525000
Armstrong Creek,1,451.0,345.0,5.0,3.0,2.0,1,3,4,13,3,0,800.847867054994,0.0,2017-11-01,655000.0,2020-10-01,803000
Armstrong Creek,1,511.0,157.80025348542458,4.0,2.0,2.0,2,6,5,16,3,0,800.847867054994,0.0,2017-07-01,585000.0,2020-10-01,716000
Armstrong Creek,1,601.0,267.0,4.0,3.0,2.0,4,16,7,15,4,0,800.847867054994,0.0,2010-08-01,218000.0,2020-10-01,770000
Armstrong Creek,1,532.0,154.0,3.0,1.0,2.0,3,17,6,13,4,0,360.0,0.0,2012-04-01,175000.0,2020-10-01,535000
Armstrong Creek,1,512.0,157.80025348542458,4.0,2.0,2.0,2,6,5,16,3,0,800.847867054994,0.0,2017-07-01,545000.0,2020-10-01,635000
Armstrong Creek,1,385.0,157.80025348542458,4.0,2.0,2.0,4,16,6,15,4,0,400.0,0.0,2019-06-01,497500.0,2020-10-01,565000
Armstrong Creek,1,504.0,170.0,4.0,2.0,2.0,3,12,6,12,3,0,400.0,0.0,2016-07-01,390000.0,2020-10-01,550000
Armstrong Creek,1,400.0,157.80025348542458,3.0,1.0,2.0,3,8,7,13,4,0,800.847867054994,0.0,2012-06-01,158000.0,2020-10-01,520000
Armstrong Creek,1,447.0,262.0,3.0,1.0,2.0,5,16,7,15,4,0,800.847867054994,0.0,2013-10-01,174000.0,2020-10-01,685000
Armstrong Creek,1,447.0,157.80025348542458,3.0,1.0,2.0,2,2,4,13,3,0,800.847867054994,0.0,2012-06-01,179500.0,2020-10-01,512000
