date,pm25,pm10,o3,no2,so2,co
20/07/2020,27,8,17,3,,
21/07/2020,14,8,16,4,,1
22/07/2020,15,10,21,6,,1
23/07/2020,26,24,15,14,,2
24/07/2020,43,21,12,10,,3
25/07/2020,64,16,18,6,,2
26/07/2020,53,20,24,3,,1
27/07/2020,32,21,22,5,,1
28/07/2020,32,16,17,7,,1
29/07/2020,31,26,17,9,,2
30/07/2020,37,27,13,12,,2
31/07/2020,42,21,19,6,,1
1/08/2020,39,16,18,5,,1
2/08/2020,34,16,20,6,,1
3/08/2020,30,8,23,2,,2
4/08/2020,16,10,21,3,,1
5/08/2020,20,12,22,4,,1
6/08/2020,19,14,22,3,1,1
7/08/2020,19,11,23,1,,1
8/08/2020,20,17,25,1,,
9/08/2020,21,18,24,13,,2
10/08/2020,29,19,20,8,,2
11/08/2020,56,7,17,3,,1
12/08/2020,21,12,16,7,,1
13/08/2020,18,10,12,8,,1
14/08/2020,16,12,18,6,,2
15/08/2020,34,6,20,1,,1
16/08/2020,14,10,18,4,,1
17/08/2020,12,10,20,6,,
18/08/2020,12,9,21,5,,1
19/08/2020,14,10,21,2,,
20/08/2020,14,9,23,1,,
21/08/2020,11,7,22,1,,
22/08/2020,14,8,24,1,,
23/08/2020,17,9,20,5,,1
24/08/2020,12,10,19,3,,1
25/08/2020,12,16,20,8,,1
26/08/2020,18,27,22,5,,1
27/08/2020,30,32,19,5,,1
28/08/2020,47,19,21,3,,1
29/08/2020,35,15,23,1,,1
30/08/2020,24,16,21,5,,
31/08/2020,20,15,22,6,,1
1/09/2020,23,26,18,3,,1
2/09/2020,21,18,22,5,,1
3/09/2020,26,22,20,4,,1
4/09/2020,27,19,22,3,,1
5/09/2020,34,16,23,4,,1
6/09/2020,35,17,24,2,,1
7/09/2020,23,23,21,3,,1
8/09/2020,31,17,24,4,,1
9/09/2020,21,21,20,6,,1
10/09/2020,25,20,20,4,,1
11/09/2020,19,11,15,4,,1
12/09/2020,17,8,22,,,1
13/09/2020,24,19,22,3,,
