,date,mintemp,maxtemp,rainfall,dir_maxgust,spd_maxgust,time_maxgust,9am_temp,9am_rh,9am_wd,9am_ws,9am_mslp,3pm_temp,3pm_rh,3pm_wd,3pm_ws,3pm_mslp,pm25,pm10,o3,no2,so2,co
31,2014-01-31,17.3,24.6,0.0,S,39.0,17:30:00,19.8,73.0,SSE,15.0,1014.6,23.0,62.0,SSE,20.0,1014.4,29.0,24.0,29.0,3.0,2.0,2.0
32,2014-02-01,15.9,28.2,0.0,SSW,31.0,16:39:00,19.9,85.0,SSE,9.0,1011.8,26.1,57.0,SSE,13.0,1010.0,23.0,33.0,34.0,5.0,4.0,3.0
33,2014-02-02,15.0,38.8,0.0,S,26.0,17:32:00,18.7,94.0,NE,4.0,1011.2,36.2,13.0,NE,9.0,1007.8,23.0,33.0,17.0,8.0,2.0,1.0
34,2014-02-03,18.5,29.1,0.0,SSW,65.0,13:49:00,27.3,44.0,NW,7.0,1006.9,21.3,63.0,SSW,46.0,1012.8,23.0,38.0,13.0,3.0,2.0,1.0
35,2014-02-04,14.9,21.7,0.0,SSE,61.0,16:00:00,17.7,55.0,SSE,28.0,1023.6,21.0,52.0,SSE,31.0,1022.7,23.0,29.0,23.0,2.0,2.0,2.0
36,2014-02-05,15.1,28.5,0.0,SE,41.0,00:47:00,19.2,49.0,E,13.0,1021.6,27.0,32.0,ENE,15.0,1018.2,23.0,23.0,37.0,6.0,4.0,2.0
37,2014-02-06,13.7,34.9,0.0,ENE,39.0,14:40:00,21.1,66.0,ENE,13.0,1015.2,33.9,24.0,ENE,20.0,1010.3,23.0,40.0,30.0,5.0,2.0,2.0
38,2014-02-07,18.6,29.1,0.0,S,41.0,16:39:00,22.9,61.0,WNW,11.0,1010.9,25.2,56.0,S,26.0,1010.7,23.0,46.0,35.0,3.0,2.0,2.0
39,2014-02-08,16.5,35.1,0.0,SW,31.0,20:10:00,20.8,86.0,ESE,6.0,1013.0,31.4,46.0,SSE,15.0,1008.8,23.0,37.0,22.0,3.0,2.0,1.0
40,2014-02-09,20.1,37.2,0.0,WSW,72.0,11:48:00,35.0,16.0,NNW,31.0,1004.8,26.8,31.0,WSW,31.0,1013.3,23.0,52.0,12.0,4.0,1.0,1.0
41,2014-02-10,11.2,22.0,0.0,S,43.0,13:48:00,18.1,58.0,SSE,17.0,1021.2,20.6,51.0,SSE,24.0,1019.9,23.0,21.0,31.0,4.0,2.0,7.0
42,2014-02-11,13.3,24.7,0.0,S,30.0,15:44:00,17.5,73.0,SE,9.0,1016.7,23.1,56.0,S,11.0,1015.0,23.0,59.0,23.0,6.0,2.0,4.0
43,2014-02-12,14.1,25.0,0.0,S,41.0,13:02:00,18.7,92.0,SSE,7.0,1014.7,23.0,69.0,SSE,24.0,1015.9,23.0,46.0,32.0,5.0,2.0,3.0
44,2014-02-13,18.7,25.9,0.0,SSW,30.0,09:18:00,20.7,81.0,SSW,19.0,1013.3,23.5,69.0,S,4.0,1011.5,23.0,43.0,21.0,6.0,2.0,3.0
45,2014-02-14,17.4,26.9,0.0,SSE,28.0,14:59:00,21.0,86.0,S,7.0,1006.8,24.4,54.0,SSE,13.0,1004.2,23.0,32.0,33.0,2.0,2.0,2.0
46,2014-02-15,17.9,29.3,0.0,SSW,35.0,20:18:00,21.0,87.0,SSW,7.0,998.2,29.0,51.0,S,19.0,995.1,23.0,24.0,11.0,1.0,2.0,1.0
47,2014-02-16,15.6,23.7,0.6,S,46.0,16:01:00,16.8,81.0,SW,19.0,1008.4,22.1,52.0,SSW,31.0,1010.4,23.0,11.0,15.0,3.0,2.0,1.0
48,2014-02-17,11.0,23.3,0.0,S,37.0,18:26:00,16.2,67.0,NW,4.0,1014.1,21.9,49.0,SSE,15.0,1012.2,23.0,14.0,24.0,5.0,2.0,2.0
49,2014-02-18,11.9,26.1,0.0,S,43.0,19:54:00,19.1,73.0,ESE,6.0,1009.9,23.5,57.0,S,24.0,1005.5,23.0,26.0,14.0,2.0,1.0,1.0
50,2014-02-19,15.1,24.9,0.0,NNE,50.0,16:29:00,18.3,67.0,NNW,15.0,999.9,17.2,90.0,S,20.0,998.1,23.0,14.0,12.0,2.0,2.0,1.0
51,2014-02-20,10.9,19.9,54.2,WNW,59.0,11:56:00,13.8,70.0,WNW,22.0,1008.2,18.1,51.0,WSW,35.0,1011.4,23.0,11.0,14.0,2.0,4.0,1.0
52,2014-02-21,11.5,20.3,0.4,S,48.0,15:12:00,14.3,71.0,W,11.0,1020.7,19.8,43.0,S,30.0,1022.0,23.0,17.0,13.0,1.0,3.0,1.0
53,2014-02-22,12.5,21.0,0.0,S,41.0,15:28:00,14.7,82.0,W,9.0,1024.5,18.6,59.0,SSW,22.0,1024.8,23.0,10.0,16.0,3.0,2.0,1.0
54,2014-02-23,12.1,21.8,0.0,S,28.0,16:14:00,16.3,67.0,ESE,7.0,1024.1,20.8,54.0,S,17.0,1021.4,23.0,17.0,9.0,1.0,2.0,1.0
55,2014-02-24,14.4,23.1,0.0,SSE,33.0,15:52:00,17.0,72.0,SE,7.0,1021.3,21.1,59.0,S,20.0,1018.4,23.0,9.0,7.0,4.0,1.0,1.0
56,2014-02-25,11.9,32.3,0.0,SSW,46.0,14:39:00,16.4,93.0,Calm,0.0,1009.4,25.6,53.0,S,24.0,1006.1,23.0,6.0,14.0,2.0,5.0,1.0
57,2014-02-26,13.1,21.2,0.0,SSW,46.0,15:41:00,15.9,90.0,WSW,11.0,1013.0,19.3,53.0,S,26.0,1013.8,23.0,10.0,14.0,2.0,2.0,1.0
58,2014-02-27,11.4,20.6,0.0,S,33.0,13:34:00,14.4,76.0,WNW,7.0,1021.9,17.7,56.0,SSE,22.0,1023.2,23.0,18.0,19.0,2.0,3.0,1.0
59,2014-02-28,12.7,20.5,0.0,S,37.0,16:52:00,16.1,63.0,SSE,9.0,1024.5,19.5,54.0,S,20.0,1022.9,23.0,20.0,14.0,1.0,2.0,1.0
60,2014-03-01,15.9,22.1,0.0,SSE,31.0,14:44:00,18.5,83.0,SSE,13.0,1023.1,21.2,67.0,SSE,19.0,1022.4,23.0,15.0,12.0,1.0,2.0,1.0
61,2014-03-02,13.8,21.6,0.0,S,31.0,09:15:00,18.1,60.0,SSE,15.0,1023.8,20.4,58.0,S,17.0,1023.4,23.0,6.0,19.0,5.0,2.0,1.0
62,2014-03-03,11.3,22.8,0.0,S,33.0,16:49:00,15.9,80.0,SSW,2.0,1025.4,21.9,62.0,S,20.0,1023.0,23.0,18.0,28.0,5.0,4.0,2.0
63,2014-03-04,15.5,33.8,0.0,N,44.0,20:01:00,18.2,92.0,NNE,7.0,1021.5,32.1,25.0,NE,9.0,1017.2,23.0,24.0,17.0,4.0,2.0,1.0
64,2014-03-05,18.2,18.8,0.0,SSW,43.0,12:23:00,18.6,83.0,SSW,19.0,1016.7,17.4,60.0,S,30.0,1019.2,23.0,19.0,12.0,4.0,2.0,1.0
65,2014-03-06,11.0,19.8,0.0,SSW,37.0,15:44:00,15.7,59.0,S,9.0,1021.0,18.6,47.0,SSE,20.0,1020.3,23.0,25.0,15.0,3.0,2.0,1.0
